순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,사극,15세이상관람가,상업영화
2,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115700607637,14411047,판타지,12세이상관람가,상업영화
3,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,드라마,12세이상관람가,상업영화
4,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-12-17,개봉영화,장편,미국,912,128447097523,13624328,SF,12세이상관람가,상업영화
5,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,액션,15세이상관람가,상업영화
6,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,액션,15세이상관람가,상업영화
7,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,코미디,15세이상관람가,상업영화
8,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,액션,15세이상관람가,상업영화
9,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,사극,15세이상관람가,상업영화
10,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,드라마,15세이상관람가,상업영화
11,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,액션,15세이상관람가,상업영화
