,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
0,20129370,명량,김한민, ,2013,20140730,장편,한국,사극,20123063
1,20150976,신과함께-죄와 벌,김용화, ,2017,20171220,장편,한국,판타지,20100540
2,20137048,국제시장,윤제균, ,2014,20141217,장편,한국,드라마,20100278
3,20090834,아바타,제임스 카메론, ,2009,20091217,장편,미국,SF,20101507
4,20148048,베테랑,류승완, ,2014,20150805,장편,한국,액션,20100374
5,20124034,도둑들,최동훈, ,2012,20120725,장편,한국,액션,20062083
6,20127593,7번방의 선물,이환경, ,2012,20130123,장편,한국,코미디,20100411
7,20148851,암살,최동훈, ,2015,20150722,장편,한국,액션,20062083
8,20124079,"광해, 왕이 된 남자",추창민, ,2012,20120913,장편,한국,사극,20100540
9,20162869,택시운전사,장훈, ,2017,20170802,장편,한국,드라마,20124216
10,20156564,부산행,연상호, ,2016,20160720,장편,한국,액션,20140808
11,20090074,해운대,윤제균, ,2009,20090722,장편,한국,액션,20100278
12,20134803,변호인,양우석, ,2013,20131218,장편,한국,드라마,20110933
13,20148493,어벤져스: 에이지 오브 울트론,조스 웨던, ,2014,20150423,장편,미국,액션, 
14,20136803,겨울왕국,크리스 벅,제니퍼 리,2013,20140116,장편,미국,애니메이션, 
15,20149120,인터스텔라,크리스토퍼 놀란, ,2014,20141106,장편,미국,SF, 
16,20145507,검사외전,이일형, ,2015,20160203,장편,한국,범죄,20126515
17,20126091,관상,한재림, ,2013,20130911,장편,한국,사극,20100128
18,20121621,아이언맨 3,쉐인 블랙, ,2013,20130425,장편,미국,액션,20104469
19,20126674,설국열차,봉준호, ,2013,20130801,장편,한국,SF,20100357
20,20159364,캡틴 아메리카: 시빌 워,안소니 루소,조 루소,2015,20160427,장편,미국,액션, 
21,20131102,수상한 그녀,황동혁, ,2013,20140122,장편,한국,드라마,20140512
22,20136064,해적: 바다로 간 산적,이석훈, ,2014,20140806,장편,한국,어드벤처,20100834
23,20090307,국가대표,김용화, ,2009,20090729,장편,한국,드라마,20100158
24,20081672,과속스캔들,강형철, ,2008,20081203,장편,한국,코미디,20100190
25,20151228,공조,김성훈, ,2016,20170118,장편,한국,액션,20100278
