,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
0,20129370,128,최민식,류승룡,조진웅,김명곤,진구,이정현,15세이상관람가,(주)빅스톤픽쳐스,씨제이이앤엠(주)
1,20150976,139,하정우,차태현,주지훈,김향기,마동석,김동욱,12세이상관람가,리얼라이즈픽쳐스(주),롯데쇼핑㈜롯데엔터테인먼트
2,20137048,126,황정민,김윤진,오달수,정진영,장영남,라미란,12세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
3,20090834,162,샘 워싱턴,조 샐다나,시고니 위버, , , ,12세이상관람가,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니
4,20148048,124,황정민,유아인,유해진,오달수,장윤주,김시후,15세이상관람가,(주)외유내강,씨제이이앤엠(주)
5,20124034,135,김윤석,김혜수,이정재,전지현,임달화,김해숙,15세이상관람가,(주)케이퍼필름,(주)쇼박스
6,20127593,127,류승룡,박신혜,갈소원,정진영,오달수,박원상,15세이상관람가,(주)화인웍스,(주)넥스트엔터테인먼트월드(NEW)
7,20148851,140,전지현,이정재,하정우,오달수,조진웅,이경영,15세이상관람가,(주)케이퍼필름,(주)쇼박스
8,20124079,131,이병헌,류승룡,한효주,장광,김인권,심은경,15세이상관람가,리얼라이즈픽쳐스(주),씨제이이앤엠(주)
9,20162869,137,이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,15세이상관람가,더램프(주),(주)쇼박스
10,20156564,118,공유,김정희,정유미,김율호,마동석,최우식,15세이상관람가,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW)
11,20090074,129,설경구,하지원,박중훈,엄정화,이민기,강대규,12세이상관람가,(주)제이케이필름,씨제이엔터테인먼트
12,20134803,127,송강호,김영애,오달수,곽도원,임시완,송영창,15세이상관람가,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW)
13,20148493,141,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
