,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
0,20129370,명량,김한민, ,2013,20140730,장편,한국,사극,20123063,128.0,최민식,류승룡,조진웅,김명곤,진구,이정현,15세이상관람가,(주)빅스톤픽쳐스,씨제이이앤엠(주)
1,20150976,신과함께-죄와 벌,김용화, ,2017,20171220,장편,한국,판타지,20100540,139.0,하정우,차태현,주지훈,김향기,마동석,김동욱,12세이상관람가,리얼라이즈픽쳐스(주),롯데쇼핑㈜롯데엔터테인먼트
2,20137048,국제시장,윤제균, ,2014,20141217,장편,한국,드라마,20100278,126.0,황정민,김윤진,오달수,정진영,장영남,라미란,12세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
3,20090834,아바타,제임스 카메론, ,2009,20091217,장편,미국,SF,20101507,162.0,샘 워싱턴,조 샐다나,시고니 위버, , , ,12세이상관람가,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니
4,20148048,베테랑,류승완, ,2014,20150805,장편,한국,액션,20100374,124.0,황정민,유아인,유해진,오달수,장윤주,김시후,15세이상관람가,(주)외유내강,씨제이이앤엠(주)
5,20124034,도둑들,최동훈, ,2012,20120725,장편,한국,액션,20062083,135.0,김윤석,김혜수,이정재,전지현,임달화,김해숙,15세이상관람가,(주)케이퍼필름,(주)쇼박스
6,20127593,7번방의 선물,이환경, ,2012,20130123,장편,한국,코미디,20100411,127.0,류승룡,박신혜,갈소원,정진영,오달수,박원상,15세이상관람가,(주)화인웍스,(주)넥스트엔터테인먼트월드(NEW)
7,20148851,암살,최동훈, ,2015,20150722,장편,한국,액션,20062083,140.0,전지현,이정재,하정우,오달수,조진웅,이경영,15세이상관람가,(주)케이퍼필름,(주)쇼박스
8,20124079,"광해, 왕이 된 남자",추창민, ,2012,20120913,장편,한국,사극,20100540,131.0,이병헌,류승룡,한효주,장광,김인권,심은경,15세이상관람가,리얼라이즈픽쳐스(주),씨제이이앤엠(주)
9,20162869,택시운전사,장훈, ,2017,20170802,장편,한국,드라마,20124216,137.0,이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,15세이상관람가,더램프(주),(주)쇼박스
10,20156564,부산행,연상호, ,2016,20160720,장편,한국,액션,20140808,118.0,공유,김정희,정유미,김율호,마동석,최우식,15세이상관람가,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW)
11,20090074,해운대,윤제균, ,2009,20090722,장편,한국,액션,20100278,129.0,설경구,하지원,박중훈,엄정화,이민기,강대규,12세이상관람가,(주)제이케이필름,씨제이엔터테인먼트
12,20134803,변호인,양우석, ,2013,20131218,장편,한국,드라마,20110933,127.0,송강호,김영애,오달수,곽도원,임시완,송영창,15세이상관람가,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW)
13,20148493,어벤져스: 에이지 오브 울트론,조스 웨던, ,2014,20150423,장편,미국,액션, ,141.0,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
14,20136803,겨울왕국,크리스 벅,제니퍼 리,2013,20140116,장편,미국,애니메이션, ,108.0,이디나 멘젤,크리스틴 벨,조나단 그로프,조시 게드, , ,전체관람가, ,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
15,20149120,인터스텔라,크리스토퍼 놀란, ,2014,20141106,장편,미국,SF, ,169.0,매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉, ,12세이상관람가, ,워너브러더스 코리아(주)
16,20145507,검사외전,이일형, ,2015,20160203,장편,한국,범죄,20126515,126.0,황정민,강동원,이성민,박성웅,김응수,신소율,15세이상관람가,(주)영화사 월광,(주)쇼박스
17,20126091,관상,한재림, ,2013,20130911,장편,한국,사극,20100128,140.0,송강호,이정재,백윤식,조정석,이종석,김혜수,15세이상관람가,(주)주피터필름,(주)쇼박스
18,20121621,아이언맨 3,쉐인 블랙, ,2013,20130425,장편,미국,액션,20104469,130.0,로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,12세이상관람가,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
19,20126674,설국열차,봉준호, ,2013,20130801,장편,한국,SF,20100357,125.0,크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,15세이상관람가,(주)모호필름,씨제이이앤엠(주)
20,20159364,캡틴 아메리카: 시빌 워,안소니 루소,조 루소,2015,20160427,장편,미국,액션, ,147.0,크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
21,20131102,수상한 그녀,황동혁, ,2013,20140122,장편,한국,드라마,20140512,127.0,심은경,나문희,박인환,성동일,이진욱,김현숙,15세이상관람가,(주)예인플러스엔터테인먼트,씨제이이앤엠(주)
22,20136064,해적: 바다로 간 산적,이석훈, ,2014,20140806,장편,한국,어드벤처,20100834,130.0,김남길,손예진,유해진,이경영,오달수,김태우,12세이상관람가,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트
23,20090307,국가대표,김용화, ,2009,20090729,장편,한국,드라마,20100158,137.0,하정우,성동일,김지석,김동욱,최재환,이재응,12세이상관람가,케이엠컬쳐㈜,(주)쇼박스
24,20081672,과속스캔들,강형철, ,2008,20081203,장편,한국,코미디,20100190,108.0,차태현,박보영,왕석현,임지규,황우슬혜,정원중,12세이상관람가,(주)토일렛픽쳐스,롯데쇼핑㈜롯데엔터테인먼트
25,20151228,공조,김성훈, ,2016,20170118,장편,한국,액션,20100278,125.0,현빈,유해진,김주혁,장영남,이해영,윤아,15세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
26,20110659,트랜스포머 3,마이클 베이, ,2011,20110629,장편,미국,액션, ,152.0,조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,샤이아 라보프,패트릭 뎀시, ,12세이상관람가, ,씨제이이앤엠(주)
27,20136068,히말라야,이석훈, ,2015,20151216,장편,한국,드라마,20100278,124.0,황정민,정우,조성하,김인권,라미란,김원해,12세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
28,20112207,미션임파서블:고스트프로토콜,브래드 버드, ,2011,20111215,장편,미국,액션,20104469,132.0,톰 크루즈,제레미 레너, , , , ,15세이상관람가,파라마운트 픽쳐스,씨제이이앤엠(주)
29,20090303,트랜스포머: 패자의 역습,마이클 베이, ,2009,20090624,장편,미국,SF,20102885,149.0,샤이아 라보프,메간 폭스, , , , ,12세이상관람가,드림웍스 SKG,씨제이엔터테인먼트
30,20159646,밀정,김지운, ,2016,20160907,장편,한국,액션,20101663,140.0,송강호,공유,한지민,츠루미 신고,엄태구,신성록,15세이상관람가,(주)다크서클픽쳐스,워너브러더스 코리아(주)
31,20110302,최종병기 활,김한민, ,2011,20110810,장편,한국,사극,20100807,122.0,박해일,류승룡,김무열,문채원,이한위,김구택,15세이상관람가,(주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트
32,20110193,써니,강형철, ,2011,20110504,장편,한국,드라마,20111044,124.0,유호정,심은경,강소라,고수희,홍진희,강지원,15세이상관람가,(주)알로하픽쳐스,씨제이이앤엠(주)
33,20167303,스파이더맨: 홈 커밍,존 와츠, ,2017,20170705,장편,미국,액션, ,133.0,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,마리사 토메이,젠다야 콜맨,존 파브로,12세이상관람가, ,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
34,20170590,1987,장준환, ,2017,20171227,장편,한국,드라마,20160263,129.0,김윤석,하정우,유해진,김태리,박희순,이희준,15세이상관람가,(주)우정필름,씨제이이앤엠(주)
35,20124083,베를린,류승완, ,2012,20130130,장편,한국,액션,20100374,120.0,하정우,한석규,류승범,전지현,이경영,최무성,15세이상관람가,(주)외유내강,씨제이이앤엠(주)
36,20161725,마스터,조의석, ,2016,20161221,장편,한국,액션,20100450,143.0,이병헌,강동원,김우빈,엄지원,오달수,진경,15세이상관람가,영화사 집,씨제이이앤엠(주)
37,20154910,터널,김성훈, ,2016,20160810,장편,한국,드라마,20100386,126.0,하정우,배두나,오달수,김종수,임한빈,정민희,12세이상관람가,(주)어나더썬데이,(주)쇼박스
38,20124721,어벤져스,조스 웨던, ,2012,20120426,장편,미국,액션, ,142.0,로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너, ,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
39,20149314,내부자들,우민호, ,2015,20151119,장편,한국,범죄,20157297,130.0,이병헌,조승우,백윤식,이경영,김홍파,배성우,청소년관람불가,(유)내부자들 문화전문회사,(주)쇼박스
40,20156250,인천상륙작전,이재한, ,2016,20160727,장편,한국,전쟁,20100947,110.0,김정철,이정재,이범수,리암 니슨,진세연,정준호,12세이상관람가,(주)태원엔터테인먼트,씨제이이앤엠(주)
41,20153444,럭키,이계벽, ,2015,20161013,장편,한국,코미디,20137896,112.0,유해진,이준,조윤희,임지연,전혜빈,이동휘,15세이상관람가,(주)용필름,(주)쇼박스
42,20126672,은밀하게 위대하게,장철수, ,2013,20130605,장편,한국,액션,20124237,123.0,김수현,박기웅,이현우,손현주,박혜숙,김성균,15세이상관람가,(주)엠씨엠씨,(주)쇼박스
43,20140194,곡성,나홍진, ,2016,20160512,장편,한국,미스터리,20169368,156.0,곽도원,황정민,쿠니무라 준,천우희,김환희,허진,15세이상관람가,(주)사이드미러,이십세기폭스코리아(주)
44,20172742,범죄도시,강윤성, ,2017,20171003,장편,한국,범죄,20063279,121.0,마동석,윤계상,조재윤,최귀화,박상규,유지연,청소년관람불가,(주)홍필름,메가박스(주)플러스엠
45,20072152,"좋은 놈, 나쁜 놈, 이상한 놈 ",김지운, ,2008,20080717,장편,한국,서부극(웨스턴),20101663,139.0,송강호,이병헌,정우성,오달수,엄지원,김광일,15세이상관람가,(주)다크서클픽쳐스,씨제이엔터테인먼트
46,20124054,늑대소년,조성희, ,2012,20121031,장편,한국,멜로/로맨스,20100362,124.0,송중기,박보영,장영남,유연석,김향기,장서이,15세이상관람가,(주)영화사비단길,씨제이이앤엠(주)
47,20161481,군함도,류승완, ,2017,20170726,장편,한국,액션,20100374,132.0,황정민,김규백,소지섭,송중기,이정현,김수안,15세이상관람가,(주)외유내강,씨제이이앤엠(주)
48,20112703,다크 나이트 라이즈,크리스토퍼 놀란, ,2012,20120719,장편,미국,액션, ,164.0,크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗, ,15세이상관람가, ,워너브러더스 코리아(주)
49,20100214,아저씨,이정범, ,2010,20100804,장편,한국,액션,20100410,119.0,원빈,김새론,김희원,김성오,김태훈,김호연,청소년관람불가,오퍼스픽쳐스,씨제이엔터테인먼트
50,20148846,사도,이준익, ,2014,20150916,장편,한국,사극,20100239,125.0,송강호,유아인,문근영,전혜진,김해숙,박원상,12세이상관람가,(주)타이거픽쳐스,(주)쇼박스
51,20090077,전우치,최동훈, ,2009,20091223,장편,한국,액션,20100450,136.0,강동원,임수정,김윤석,유해진,염정아,김시권,12세이상관람가,영화사 집,씨제이엔터테인먼트
52,20157881,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리, ,2015,20150730,장편,미국,액션, ,131.0,톰 크루즈,제레미 레너,사이먼 페그,알렉 볼드윈,레베카 퍼거슨, ,15세이상관람가, ,롯데쇼핑㈜롯데엔터테인먼트
53,20140110,킹스맨 : 시크릿 에이전트,매튜 본, ,2014,20150211,장편,미국,액션, ,128.0,콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인, , ,청소년관람불가, ,이십세기폭스코리아(주)
54,20134798,연평해전,김학순, ,2015,20150624,장편,한국,드라마,20062680,130.0,김무열,진구,김율호,이현우,이완,이청아,12세이상관람가,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW)
55,20100312,인셉션,크리스토퍼 놀란, ,2010,20100721,장편,미국,드라마,20103668,147.0,레오나르도 디카프리오,엘렌 페이지,마리옹 꼬띠아르, , , ,12세이상관람가,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
56,20128274,레미제라블,톰 후퍼, ,2012,20121219,장편,미국,드라마, ,158.0,휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터, ,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
57,20162442,청년경찰,김주환, ,2017,20170809,장편,한국,액션,20139999,108.0,김규백,박서준,정다은,강하늘,성동일,박하선,15세이상관람가,(주)무비락,롯데쇼핑㈜롯데엔터테인먼트
58,20136049,숨바꼭질,허정, ,2013,20130814,장편,한국,스릴러,20063193,108.0,손현주,문정희,전미선,장채린,김수안,김원해,15세이상관람가,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW)
59,20150979,덕혜옹주,허진호, ,2016,20160803,장편,한국,사극,2016841,127.0,손예진,박해일,윤제문,라미란,정상훈,박수영,12세이상관람가,(주)하이브미디어코프,롯데쇼핑㈜롯데엔터테인먼트
60,20136052,더 테러 라이브,김병우, ,2013,20130731,장편,한국,범죄,20100025,98.0,하정우,이경영,전혜진,이다윗,이재관,이춘연,15세이상관람가,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트
61,20098169,쥬라기 월드,콜린 트레보로우, ,2015,20150611,장편,미국,액션, ,125.0,크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오,12세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
62,20090904,의형제,장훈, ,2009,20100204,장편,한국,드라마,20100103,116.0,송강호,강동원,전국환,박혁권,윤희석,최정우,15세이상관람가,(주)쇼박스,(주)쇼박스
63,20122783,감시자들,조의석,김병서,2013,20130703,장편,한국,범죄,20100450,118.0,설경구,정우성,한효주,진경,이준호,임달화,15세이상관람가,영화사 집,(주)넥스트엔터테인먼트월드(NEW)
64,20090685,2012,롤랜드 에머리히, ,2009,20091112,장편,미국,SF,20102539,157.0,존 쿠삭,아만다 피트,올리버 플랫,탠디 뉴튼,치웨텔 에지오포, ,12세이상관람가,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜
65,20163181,닥터 스트레인지,스콧 데릭슨, ,2015,20161026,장편,미국,액션, ,115.0,베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
66,20145503,검은 사제들,장재현, ,2015,20151105,장편,한국,미스터리,20100450,108.0,김윤석,강동원,박소담,김병옥,김의성,이호재,15세이상관람가,영화사 집,씨제이이앤엠(주)
67,20170561,블랙 팬서,라이언 쿠글러, ,2018,20180214,장편,미국,액션, ,134.0,채드윅 보스만,마이클 B. 조던,루피타 뇽오,다네이 거라이라,마틴 프리먼,안젤라 바셋,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
68,20151229,더 킹,한재림, ,2016,20170118,장편,한국,범죄,20141519,134.0,조인성,정우성,배성우,김아중,류준열,김의성,15세이상관람가,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW)
69,20112695,완득이,이한, ,2011,20111020,장편,한국,드라마,20100346,107.0,김윤석,유아인,김효숙,조병찬,조세현,신창수,12세이상관람가,(주)유비유필름,씨제이이앤엠(주)
70,20122021,트랜스포머: 사라진 시대,마이클 베이, ,2014,20140625,장편,미국,액션, ,165.0,마크 월버그,니콜라 펠츠,잭 레이너,스탠리 투치,리빙빙, ,12세이상관람가, ,씨제이이앤엠(주)
71,20177478,어벤져스: 인피니티 워,안소니 루소,조 루소,2018,20180425,장편,미국,액션, ,149.0,로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
72,20122122,월드 워 Z,마크 포스터, ,2013,20130620,장편,미국,드라마,20104492,115.0,브래드 피트,미레유 에노스,매튜 폭스, , , ,15세이상관람가,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
73,20124039,타워,김지훈, ,2012,20121225,장편,한국,드라마,20110854,121.0,설경구,손예진,김상경,김인권,도지한,안성기,12세이상관람가,씨제이이앤엠(주),씨제이이앤엠(주)
74,20164721,미녀와 야수,빌 콘돈, ,2017,20170316,장편,미국,멜로/로맨스, ,129.0,엠마 왓슨,댄 스티븐스,루크 에반스,이완 맥그리거,이안 맥켈런,엠마 톰슨,전체관람가, ,월트디즈니컴퍼니코리아 유한책임회사
75,20080046,추격자,나홍진, ,2008,20080214,장편,한국,범죄,20100362,123.0,김윤석,하정우,서영희,박효주,김유정,최정우,청소년관람불가,(주)영화사비단길,(주)쇼박스
76,20110511,쿵푸팬더 2,여인영, ,2011,20110526,장편,미국,애니메이션, ,91.0,더스틴 호프만,잭 블랙,안젤리나 졸리,성룡, , ,전체관람가, ,씨제이이앤엠(주)
77,20151225,인사이드 아웃,피트 닥터, ,2014,20150709,장편,미국,애니메이션, ,102.0,다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더, ,전체관람가, ,월트디즈니컴퍼니코리아(주)
78,20175222,킹스맨: 골든 서클,매튜 본, ,2017,20170927,장편,미국,액션, ,141.0,콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,청소년관람불가, ,이십세기폭스코리아(주)
79,20124067,바람과 함께 사라지다,김주호, ,2012,20120808,장편,한국,코미디,20122495,121.0,차태현,오지호,민효린,성동일,신정근,고창석,12세이상관람가,(주)두타연,(주)넥스트엔터테인먼트월드(NEW)
80,20151383,마션,리들리 스콧, ,2015,20151008,장편,미국,액션, ,142.0,맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그, ,12세이상관람가, ,이십세기폭스코리아(주)
81,20175121,토르: 라그나로크,타이카 와이티티, ,2017,20171025,장편,미국,액션, ,130.0,크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
82,20126077,어메이징 스파이더맨,마크 웹, ,2012,20120628,장편,미국,액션, ,136.0,앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드, , ,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
