,movieCd,starScore,userCount
0,20129370,8.47,67132
1,20150976,7.87,57376
2,20137048,9.01,41599
3,20090834,9.06,40992
4,20148048,9.01,41051
5,20124034,7.6,20880
6,20127593,8.85,46433
7,20148851,8.97,41051
8,20124079,9.23,27779
9,20162869,9.06,48945
10,20156564,8,59095
11,20090074,7.49,25855
12,20134803,8.98,95055
13,20148493,8.31,31323
14,20136803,9.12,37017
15,20149120,9.09,50137
16,20145507,7.94,27757
17,20126091,7.97,14564
18,20121621,8.85,15458
19,20126674,7.97,37849
20,20159364,8.67,37730
21,20131102,9,20624
22,20136064,8.27,25575
23,20090307,9.13,40883
24,20081672,9.2,31621
25,20151228,8.28,25098
26,20110659,7.07,13724
27,20136068,7.98,20765
28,20112207,8.73,6649
29,20090303,8.11,15141
30,20159646,8.42,23789
31,20110302,7.92,14204
32,20110193,9.11,18012
33,20167303,8.4,18642
34,20170590,9.25,31156
35,20124083,7.81,20164
36,20161725,8.1,22146
37,20154910,8.37,25173
38,20124721,8.79,17893
39,20149314,8.98,24945
40,20156250,8.03,40067
41,20153444,8.46,23513
42,20126672,7.11,38176
43,20140194,7.6,46264
44,20172742,9.14,28441
45,20072152,7.73,19786
46,20124054,8.64,34556
47,20161481,5.28,53873
48,20112703,9.01,25227
49,20100214,9.22,27834
50,20148846,8.23,21271
51,20090077,8.18,19656
52,20157881,8.74,14653
53,20140110,8.82,22314
54,20134798,8.99,29732
55,20100312,9.21,24692
56,20128274,8.34,22535
57,20162442,8.37,19016
58,20136049,6.81,13468
59,20150979,8.38,22677
60,20136052,8.27,17269
61,20098169,7.88,18235
62,20090904,8.86,14316
63,20122783,7.77,13403
64,20090685,7.63,12074
65,20163181,8.71,18599
66,20145503,8.31,21321
67,20170561,7.51,16385
68,20151229,8.09,21775
69,20112695,8.77,9534
70,20122021,6.6,17274
71,20177478,8.97,33553
72,20122122,8.2,13385
73,20124039,8.04,14145
74,20164721,8.79,18069
75,20080046,9.09,16636
76,20110511,8.72,4034
77,20151225,9.06,18120
78,20175222,8.4,20281
79,20124067,7.59,8153
80,20151383,8.41,15626
81,20175121,8.83,16880
82,20126077,7.75,9044
83,20141111,9.23,15330
84,20102414,8.13,9741
85,20123501,6.92,25964
86,20113557,8.6,7472
87,20155501,9.35,18310
88,20148807,8.93,16520
89,20124401,8.89,20848
90,20080653,9.02,7981
91,20162365,8.21,15424
92,20112534,9.26,10165
93,20113554,8.55,8753
94,20144641,8.36,19143
95,20090238,8.18,8259
96,20081169,8.44,5837
97,20124062,7.22,12910
98,20090933,7.35,6507
99,20170402,8.36,18879
