,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,screen_D8,screen_D9,screen_D10,screen_D11,screen_D12,screen_D13,screen_D14,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,show_D8,show_D9,show_D10,show_D11,show_D12,show_D13,show_D14,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,audience_D8,audience_D9,audience_D10,audience_D11,audience_D12,audience_D13,audience_D14,final_audience
0,20129370,3.844110894,9.884749172,15.21817864,5.857089158,7.639559686,4.809187271,7.030157464,3.962847311,6.248454162,7.479491831,9.533527574,0.882941339,4.350505029,4.413769268,4.547673726,5.019596675,5.472902345,5.264538787,5.640993862,4.862569493,5.104486581,5.077911472,5.172359206,5.212513996,5.009437613,5.168470344,0.397164368,4.487300751,4.456568122,4.495656659,4.890945476,5.315636136,5.323425085,5.70871403,5.388231229,5.567152438,5.509768519,5.708679682,5.800474079,5.583530741,5.81268295,0.80861727,7.069047558,7.859527005,6.884754503,7.677993865,9.205502531,11.93620226,11.47941302,10.30735368,8.971766712,6.78874975,9.269433333,10.44774129,8.317007085,9.322011808,17615166
1,20150976,5.381755252,8.402036796,15.21817864,5.857089158,4.329083822,4.809187271,7.908927147,3.019312237,7.152418343,6.949657699,8.1480617,0.368421566,5.773146449,5.809137257,5.782542053,6.108183906,6.507477457,6.975605101,6.221188984,5.686936312,6.200365056,6.218256224,6.416344332,6.591947358,6.8401291,6.105888985,0.15684198,4.977129742,4.952929257,5.005016773,5.418948926,5.875036247,6.091870766,5.735866931,4.761138908,5.379006348,5.638376837,6.324509343,6.650550437,6.724406554,6.233647307,0.582168496,4.207718329,4.475015611,3.951064618,6.032437594,9.287184912,14.62239091,5.67960539,7.260388439,5.192587145,5.240718499,7.646369732,10.36241978,14.49158327,6.182790194,14410931
2,20137048,7.688221788,8.402036796,14.26704247,5.857089158,3.310475864,4.809187271,7.908927147,3.962847311,5.233476836,7.95634255,5.907543549,1.410165305,3.494667974,3.503108055,3.379271399,3.070891139,3.117519672,3.294441112,3.593466561,2.895239985,3.205238547,3.226341248,3.624117657,3.777586189,3.661382973,3.720116318,0.597011406,3.244113314,3.198217871,3.116559117,3.061262389,3.110077704,3.128772418,3.132857718,2.796514234,2.975830303,2.890550351,3.194041899,3.335651738,3.333047562,3.589742473,1.187697046,1.913061429,2.213290604,1.917378695,2.759216069,3.325213062,2.465988701,2.874380155,4.91993505,7.466123012,3.282296854,4.556345354,5.57354616,4.459056926,6.416083613,14262636
3,20090834,4.228521983,8.402036796,13.31590631,4.624017756,4.838387801,5.018282369,7.908927147,1.887070148,2.045813672,8.000495394,5.821342464,3.531765358,2.717658017,2.809096082,3.207859082,2.892819771,2.465737351,2.685170165,2.39190118,2.692135117,2.991006665,2.888608482,2.780672634,2.528961163,2.71275193,2.668687302,2.974938193,2.390745073,2.467562887,2.674979466,2.472162316,2.220244354,2.305337045,2.103982918,2.547264881,2.847660913,2.71489021,2.493190979,2.328331208,2.493024926,2.587065765,2.529822022,2.125815944,2.76266716,4.391054209,3.680161199,1.484815389,2.379326564,2.439612838,5.44468276,8.275590843,5.325838183,3.749431059,2.026353059,3.181957982,4.441963821,13338087
4,20148048,4.459168637,7.413561879,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,3.962847311,6.993828135,7.95634255,5.829721153,0.876589243,3.592263428,3.459043803,3.442239189,3.474071594,3.669293065,3.706702292,3.892922108,4.209447956,3.736698409,4.108419767,4.294252059,4.399916757,4.010878621,4.108596115,0.366807855,3.720072333,3.56710606,3.422577842,3.429128373,3.570681614,3.684309296,3.858647431,4.290422774,3.955175891,4.105271591,4.311573585,4.408424156,4.271101008,4.498279472,0.913593761,4.289042802,4.513562484,3.791882296,4.456146722,5.3005254,5.072182464,5.384653579,5.760361387,5.590902602,7.03396684,6.970319827,7.196021116,4.910961988,5.791839407,13414200
5,20124034,6.919399609,9.884749172,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,5.0950894,8.468717062,6.711232339,2.965203714,0.39382995,3.340767451,3.48474795,3.372274978,3.601745405,3.693433151,3.651977357,3.791855861,4.082009607,4.08688514,4.052793194,4.201819727,4.320638978,4.331249631,4.39151075,0.15684198,3.213453377,3.242370512,3.254133324,3.4529239,3.523953681,3.5411951,3.67444802,4.001484034,4.097312457,4.04175163,4.193616162,4.285502316,4.246593306,4.444992844,0.569590005,4.520746106,4.572218832,3.91731695,4.731837839,5.498160594,5.93222098,6.594508082,7.429379961,7.007581257,5.480702298,6.488205141,6.895437603,6.13285725,6.824236824,12983841
6,20127593,4.228521983,7.413561879,14.26704247,5.857089158,3.565127854,4.809187271,7.030157464,3.396726267,5.851978644,7.815053448,6.594027972,0.72413894,2.270971133,2.287669097,2.259844021,2.526597523,2.714035378,2.510050371,2.878516443,2.795678775,2.95392807,3.007808282,3.273645067,3.432727848,3.13297884,3.213403539,0.290916575,2.098015676,2.128584551,2.105220919,2.220058354,2.329721225,2.337766863,2.352028341,2.723485761,2.900243227,2.905450095,3.165701479,3.23428113,3.087125442,3.25581294,0.88768207,1.582254924,2.36484737,2.167851159,3.307028821,4.000189049,3.809336214,3.72027321,3.766953585,3.251491645,2.743484238,4.783457579,5.198176028,3.159399089,4.080061813,12811435
7,20148851,6.919399609,9.884749172,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,5.0950894,5.011450546,7.921020274,5.829721153,0.400182046,4.744640515,4.883787959,4.792548465,5.053195046,5.238398653,5.096715652,5.289133595,5.663041621,4.23519952,4.1282864,4.043914495,4.300819533,4.401980893,4.6195315,0.161901398,4.558840604,4.62676943,4.57216134,4.74431358,4.89842245,4.885622545,5.102543855,5.44776531,3.841795277,3.666121239,3.727148173,3.91514041,4.056447337,4.31976927,0.516616589,4.944712311,4.849448663,4.311677344,5.912919116,6.959658032,5.120613433,5.297338227,7.244448333,4.60424686,3.88443033,4.93055269,5.739392319,6.632409477,8.094170503,12706663
8,20124079,3.305935369,6.91932442,14.26704247,5.857089158,7.639559686,4.809187271,7.030157464,3.962847311,4.250217552,8.150615065,3.94494224,0.235027551,2.58252585,2.618150989,2.833550552,2.701309054,2.4553916,2.696115152,2.803652557,3.038608127,3.262916362,3.603807281,3.547090714,3.107688953,3.320208651,3.441424289,0.121426049,2.454254942,2.532367568,2.705849776,2.50882029,2.342404521,2.504145928,2.625025078,2.860811041,3.136863638,3.433998911,3.26450997,3.033136301,3.217269794,3.419225265,0.391514513,1.755258401,2.661384079,3.517972187,2.597461832,1.384105267,2.359493618,2.516956462,2.647494736,3.520668286,4.825753892,3.753791802,1.567543729,2.511941462,3.321348851,12323595
9,20162869,3.99787533,7.413561879,15.21817864,5.857089158,3.310475864,4.809187271,7.030157464,5.0950894,7.501316798,8.000495394,6.950761293,2.934668337,5.42780869,5.702648647,5.866499106,6.13842244,6.573000548,6.366334154,6.561819669,5.758620383,5.574148784,5.387830952,5.430399464,5.489986224,5.371415248,4.39151075,1.206671359,5.159629366,5.193632361,5.268085501,5.594521328,5.96048161,6.041111051,6.334698483,5.281863671,5.178536277,5.047092256,5.100509593,5.1706992,5.289438309,4.116391975,3.116339082,7.228372701,7.265483784,5.612280097,6.998446659,8.008716919,6.784856804,6.39350183,5.938092838,4.881628682,3.758152578,5.950579372,6.890883614,8.042379829,12.12562865,12189195
10,20156564,2.152702101,9.884749172,14.26704247,5.857089158,5.34769178,2.718236283,7.030157464,3.396726267,7.53303484,7.064455094,8.392179765,8.359358293,5.897017602,5.922969908,5.831517001,6.007388792,6.121236082,5.917589683,6.142581903,4.082009607,4.194001081,4.056766521,3.855198485,3.868755635,3.881898084,3.905911003,6.825155821,6.446616713,6.474771072,6.376061191,6.624160211,6.713468872,6.548003203,6.763274006,4.399171696,4.570553278,4.375819576,4.136935323,4.200893777,4.278706847,4.471636158,20.31555654,9.036118212,7.394634762,5.863958969,7.986252615,8.750806142,6.017038472,5.54648613,6.197504502,4.113131777,3.321458007,4.881069198,5.434781056,5.492039242,6.370609565,11566862
11,20090074,7.688221788,9.884749172,13.31590631,5.857089158,5.34769178,4.809187271,7.908927147,3.962847311,7.025546177,6.614096082,3.671711783,0.381125758,2.015721485,2.129772193,2.165392336,2.442601595,2.600232116,2.280205642,2.384414791,2.449205764,2.566662744,2.646235556,2.942429213,2.96498895,2.721073255,2.748916825,0.182139073,2.274675312,2.305907252,2.334734963,2.603359275,2.675507929,2.439286292,2.55530817,2.662364105,2.809045777,2.841930133,3.214722746,3.245455842,3.067688299,3.244267504,0.535448387,1.767518164,2.981864884,2.466437067,3.818349377,4.526925827,3.446158204,3.849760383,4.51141667,4.502115044,3.792798542,5.282173396,5.820220564,6.092561091,7.755625143,11324561
