,movieCd,director_score,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,screen_D1,screen_D2,screen_D3,screen_D4,screen_D5,screen_D6,screen_D7,previous_show,show_D1,show_D2,show_D3,show_D4,show_D5,show_D6,show_D7,previous_audience,audience_D1,audience_D2,audience_D3,audience_D4,audience_D5,audience_D6,audience_D7,final_audience
0,20129370,3.844110894,9.884749172,15.21817864,5.857089158,7.639559686,4.809187271,7.030157464,3.962847311,6.248454162,7.479491831,9.533527574,0.882941339,4.350505029,4.413769268,4.547673726,5.019596675,5.472902345,5.264538787,5.640993862,0.397164368,4.487300751,4.456568122,4.495656659,4.890945476,5.315636136,5.323425085,5.70871403,0.80861727,7.069047558,7.859527005,6.884754503,7.677993865,9.205502531,11.93620226,11.47941302,17615166
1,20150976,5.381755252,8.402036796,15.21817864,5.857089158,4.329083822,4.809187271,7.908927147,3.019312237,7.152418343,6.949657699,8.1480617,0.368421566,5.773146449,5.809137257,5.782542053,6.108183906,6.507477457,6.975605101,6.221188984,0.15684198,4.977129742,4.952929257,5.005016773,5.418948926,5.875036247,6.091870766,5.735866931,0.582168496,4.207718329,4.475015611,3.951064618,6.032437594,9.287184912,14.62239091,5.67960539,14410931
2,20137048,7.688221788,8.402036796,14.26704247,5.857089158,3.310475864,4.809187271,7.908927147,3.962847311,5.233476836,7.95634255,5.907543549,1.410165305,3.494667974,3.503108055,3.379271399,3.070891139,3.117519672,3.294441112,3.593466561,0.597011406,3.244113314,3.198217871,3.116559117,3.061262389,3.110077704,3.128772418,3.132857718,1.187697046,1.913061429,2.213290604,1.917378695,2.759216069,3.325213062,2.465988701,2.874380155,14262636
3,20090834,4.228521983,8.402036796,13.31590631,4.624017756,4.838387801,5.018282369,7.908927147,1.887070148,2.045813672,8.000495394,5.821342464,3.531765358,2.717658017,2.809096082,3.207859082,2.892819771,2.465737351,2.685170165,2.39190118,2.974938193,2.390745073,2.467562887,2.674979466,2.472162316,2.220244354,2.305337045,2.103982918,2.529822022,2.125815944,2.76266716,4.391054209,3.680161199,1.484815389,2.379326564,2.439612838,13338087
4,20148048,4.459168637,7.413561879,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,3.962847311,6.993828135,7.95634255,5.829721153,0.876589243,3.592263428,3.459043803,3.442239189,3.474071594,3.669293065,3.706702292,3.892922108,0.366807855,3.720072333,3.56710606,3.422577842,3.429128373,3.570681614,3.684309296,3.858647431,0.913593761,4.289042802,4.513562484,3.791882296,4.456146722,5.3005254,5.072182464,5.384653579,13414200
5,20124034,6.919399609,9.884749172,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,5.0950894,8.468717062,6.711232339,2.965203714,0.39382995,3.340767451,3.48474795,3.372274978,3.601745405,3.693433151,3.651977357,3.791855861,0.15684198,3.213453377,3.242370512,3.254133324,3.4529239,3.523953681,3.5411951,3.67444802,0.569590005,4.520746106,4.572218832,3.91731695,4.731837839,5.498160594,5.93222098,6.594508082,12983841
6,20127593,4.228521983,7.413561879,14.26704247,5.857089158,3.565127854,4.809187271,7.030157464,3.396726267,5.851978644,7.815053448,6.594027972,0.72413894,2.270971133,2.287669097,2.259844021,2.526597523,2.714035378,2.510050371,2.878516443,0.290916575,2.098015676,2.128584551,2.105220919,2.220058354,2.329721225,2.337766863,2.352028341,0.88768207,1.582254924,2.36484737,2.167851159,3.307028821,4.000189049,3.809336214,3.72027321,12811435
7,20148851,6.919399609,9.884749172,14.26704247,5.857089158,5.34769178,4.809187271,7.030157464,5.0950894,5.011450546,7.921020274,5.829721153,0.400182046,4.744640515,4.883787959,4.792548465,5.053195046,5.238398653,5.096715652,5.289133595,0.161901398,4.558840604,4.62676943,4.57216134,4.74431358,4.89842245,4.885622545,5.102543855,0.516616589,4.944712311,4.849448663,4.311677344,5.912919116,6.959658032,5.120613433,5.297338227,12706663
8,20124079,3.305935369,6.91932442,14.26704247,5.857089158,7.639559686,4.809187271,7.030157464,3.962847311,4.250217552,8.150615065,3.94494224,0.235027551,2.58252585,2.618150989,2.833550552,2.701309054,2.4553916,2.696115152,2.803652557,0.121426049,2.454254942,2.532367568,2.705849776,2.50882029,2.342404521,2.504145928,2.625025078,0.391514513,1.755258401,2.661384079,3.517972187,2.597461832,1.384105267,2.359493618,2.516956462,12323595
9,20162869,3.99787533,7.413561879,15.21817864,5.857089158,3.310475864,4.809187271,7.030157464,5.0950894,7.501316798,8.000495394,6.950761293,2.934668337,5.42780869,5.702648647,5.866499106,6.13842244,6.573000548,6.366334154,6.561819669,1.206671359,5.159629366,5.193632361,5.268085501,5.594521328,5.96048161,6.041111051,6.334698483,3.116339082,7.228372701,7.265483784,5.612280097,6.998446659,8.008716919,6.784856804,6.39350183,12189195
10,20156564,2.152702101,9.884749172,14.26704247,5.857089158,5.34769178,2.718236283,7.030157464,3.396726267,7.53303484,7.064455094,8.392179765,8.359358293,5.897017602,5.922969908,5.831517001,6.007388792,6.121236082,5.917589683,6.142581903,6.825155821,6.446616713,6.474771072,6.376061191,6.624160211,6.713468872,6.548003203,6.763274006,20.31555654,9.036118212,7.394634762,5.863958969,7.986252615,8.750806142,6.017038472,5.54648613,11566862
