,VIF Factor,features
0,10.745132277396683,director_score
1,56.1784494461249,openDt_score
2,148.86015735552016,prdtYear_score
3,32.17227428370306,repNationNm_score
4,23.135258749829767,repGenreNm_score
5,16.793064519555596,showTm_score
6,55.814746068323466,watchGradeNm_score
7,13.861664267215849,distributor_score
8,27.40691378819135,actor_score
9,58.56725973071972,starScore
10,7.9546126518798355,userCount
11,13.097871293217693,previous_screen
12,701.5167196263083,screen_D1
13,1272.4518720943747,screen_D2
14,1557.3840590188295,screen_D3
15,1764.7397278824367,screen_D4
16,1354.885919267612,screen_D5
17,971.8402436842599,screen_D6
18,359.7865953367686,screen_D7
19,367.56687967342435,screen_D8
20,1009.4477278262585,screen_D9
21,1481.5684317571795,screen_D10
22,1492.6230326882774,screen_D11
23,1261.1333040587645,screen_D12
24,779.0761784877554,screen_D13
25,210.71264520295182,screen_D14
26,183.03826931162456,screen_D15
27,751.8858371198363,screen_D16
28,1241.871594048675,screen_D17
29,1386.4736140408304,screen_D18
30,993.1746511220665,screen_D19
31,754.2044095189742,screen_D20
32,248.70738864050506,screen_D21
33,170.8150274677935,screen_D22
34,695.6302921718959,screen_D23
35,1291.7003143229601,screen_D24
36,1494.8815521055367,screen_D25
37,1140.3204148014825,screen_D26
38,953.3920793721629,screen_D27
39,185.986483834863,screen_D28
40,11.114631544780096,previous_show
41,345.0806718721691,show_D1
42,1348.5568945160321,show_D2
43,2335.5529727799894,show_D3
44,3047.092147513246,show_D4
45,2423.697204382642,show_D5
46,970.9324141509976,show_D6
47,237.03357031233705,show_D7
48,298.0067406027301,show_D8
49,1100.5151611647614,show_D9
50,2001.7297506996533,show_D10
51,2629.707704205105,show_D11
52,2040.2261698552534,show_D12
53,816.6116108140006,show_D13
54,230.96910785891794,show_D14
55,165.83068359862054,show_D15
56,1253.251362374582,show_D16
57,2755.674577201849,show_D17
58,3249.326695280281,show_D18
59,2504.956673718441,show_D19
60,1428.345010675351,show_D20
61,243.67237144893676,show_D21
62,138.60072874781739,show_D22
63,617.8417466582505,show_D23
64,1978.4431384426616,show_D24
65,2764.1898421355427,show_D25
66,2159.2495661596026,show_D26
67,1353.6042728315576,show_D27
68,186.8114504899603,show_D28
69,6.013336130881554,previous_audience
70,17.579698551738446,audience_D1
71,20.349596897032775,audience_D2
72,83.83905146530847,audience_D3
73,186.78272633151457,audience_D4
74,87.19370709925548,audience_D5
75,20.155364763444766,audience_D6
76,14.198620494800366,audience_D7
77,18.390295351137592,audience_D8
78,22.234675182390315,audience_D9
79,71.05265012056051,audience_D10
80,177.2665903724657,audience_D11
81,72.2896017635859,audience_D12
82,15.360242454464972,audience_D13
83,13.232707705613103,audience_D14
84,19.4147998438511,audience_D15
85,20.84541141780407,audience_D16
86,62.4199055873058,audience_D17
87,192.18984209726665,audience_D18
88,71.93938657331586,audience_D19
89,24.951457837980914,audience_D20
90,26.721273315134674,audience_D21
91,24.398508847455062,audience_D22
92,15.388029256222888,audience_D23
93,102.39648500679328,audience_D24
94,258.2363779718837,audience_D25
95,94.8977471130996,audience_D26
96,29.58194402012898,audience_D27
97,25.397630695479997,audience_D28
