,index,prediction,realValue,accuracy
0,0,11_1000up,11_1000up,TRUE
1,1,11_1000up,11_1000up,TRUE
2,2,11_1000up,11_1000up,TRUE
3,3,11_1000up,11_1000up,TRUE
4,4,11_1000up,11_1000up,TRUE
5,5,11_1000up,11_1000up,TRUE
6,6,11_1000up,11_1000up,TRUE
7,7,11_1000up,11_1000up,TRUE
8,8,11_1000up,11_1000up,TRUE
9,9,11_1000up,11_1000up,TRUE
10,10,11_1000up,11_1000up,TRUE
11,11,11_1000up,11_1000up,TRUE
12,12,11_1000up,11_1000up,TRUE
13,13,11_1000up,11_1000up,TRUE
14,14,11_1000up,11_1000up,TRUE
15,15,11_1000up,11_1000up,TRUE
16,16,10_900up 1000down,10_900up 1000down,TRUE
17,17,10_900up 1000down,10_900up 1000down,TRUE
18,18,10_900up 1000down,10_900up 1000down,TRUE
19,19,10_900up 1000down,10_900up 1000down,TRUE
20,20,09_800up 900down,09_800up 900down,TRUE
21,21,09_800up 900down,09_800up 900down,TRUE
22,22,09_800up 900down,09_800up 900down,TRUE
23,23,09_800up 900down,09_800up 900down,TRUE
24,24,09_800up 900down,09_800up 900down,TRUE
25,25,08_700up 800down,08_700up 800down,TRUE
26,26,08_700up 800down,08_700up 800down,TRUE
27,27,08_700up 800down,08_700up 800down,TRUE
28,28,08_700up 800down,08_700up 800down,TRUE
29,29,08_700up 800down,08_700up 800down,TRUE
30,30,08_700up 800down,08_700up 800down,TRUE
31,31,08_700up 800down,08_700up 800down,TRUE
32,32,08_700up 800down,08_700up 800down,TRUE
33,33,08_700up 800down,08_700up 800down,TRUE
34,34,08_700up 800down,08_700up 800down,TRUE
35,35,08_700up 800down,08_700up 800down,TRUE
36,36,08_700up 800down,08_700up 800down,TRUE
37,37,08_700up 800down,08_700up 800down,TRUE
38,38,08_700up 800down,08_700up 800down,TRUE
39,39,08_700up 800down,08_700up 800down,TRUE
40,40,08_700up 800down,08_700up 800down,TRUE
41,41,07_600up 700down,07_600up 700down,TRUE
42,42,07_600up 700down,07_600up 700down,TRUE
43,43,07_600up 700down,07_600up 700down,TRUE
44,44,07_600up 700down,07_600up 700down,TRUE
45,45,07_600up 700down,07_600up 700down,TRUE
46,46,07_600up 700down,07_600up 700down,TRUE
47,47,07_600up 700down,07_600up 700down,TRUE
48,48,07_600up 700down,07_600up 700down,TRUE
49,49,07_600up 700down,07_600up 700down,TRUE
50,50,07_600up 700down,07_600up 700down,TRUE
51,51,07_600up 700down,07_600up 700down,TRUE
52,52,07_600up 700down,07_600up 700down,TRUE
53,53,07_600up 700down,07_600up 700down,TRUE
54,54,07_600up 700down,07_600up 700down,TRUE
55,55,06_500up 600down,06_500up 600down,TRUE
56,56,06_500up 600down,06_500up 600down,TRUE
57,57,06_500up 600down,06_500up 600down,TRUE
58,58,06_500up 600down,06_500up 600down,TRUE
59,59,06_500up 600down,06_500up 600down,TRUE
60,60,06_500up 600down,06_500up 600down,TRUE
61,61,06_500up 600down,06_500up 600down,TRUE
62,62,06_500up 600down,06_500up 600down,TRUE
63,63,06_500up 600down,06_500up 600down,TRUE
64,64,06_500up 600down,06_500up 600down,TRUE
65,65,06_500up 600down,06_500up 600down,TRUE
66,66,06_500up 600down,06_500up 600down,TRUE
67,67,06_500up 600down,06_500up 600down,TRUE
68,68,06_500up 600down,06_500up 600down,TRUE
69,69,06_500up 600down,06_500up 600down,TRUE
70,70,06_500up 600down,06_500up 600down,TRUE
71,71,11_1000up,11_1000up,TRUE
72,72,06_500up 600down,06_500up 600down,TRUE
73,73,06_500up 600down,06_500up 600down,TRUE
74,74,06_500up 600down,06_500up 600down,TRUE
75,75,06_500up 600down,06_500up 600down,TRUE
76,76,06_500up 600down,06_500up 600down,TRUE
77,77,05_400up 500down,05_400up 500down,TRUE
78,78,05_400up 500down,05_400up 500down,TRUE
79,79,05_400up 500down,05_400up 500down,TRUE
80,80,05_400up 500down,05_400up 500down,TRUE
81,81,05_400up 500down,05_400up 500down,TRUE
82,82,05_400up 500down,05_400up 500down,TRUE
83,83,05_400up 500down,05_400up 500down,TRUE
84,84,05_400up 500down,05_400up 500down,TRUE
85,85,05_400up 500down,05_400up 500down,TRUE
86,86,05_400up 500down,05_400up 500down,TRUE
87,87,05_400up 500down,05_400up 500down,TRUE
88,88,05_400up 500down,05_400up 500down,TRUE
89,89,05_400up 500down,05_400up 500down,TRUE
90,90,05_400up 500down,05_400up 500down,TRUE
91,91,05_400up 500down,05_400up 500down,TRUE
92,92,05_400up 500down,05_400up 500down,TRUE
93,93,05_400up 500down,05_400up 500down,TRUE
94,94,05_400up 500down,05_400up 500down,TRUE
95,95,05_400up 500down,05_400up 500down,TRUE
96,96,05_400up 500down,05_400up 500down,TRUE
97,97,05_400up 500down,05_400up 500down,TRUE
98,98,05_400up 500down,05_400up 500down,TRUE
99,99,05_400up 500down,05_400up 500down,TRUE
100,100,05_400up 500down,05_400up 500down,TRUE
101,101,05_400up 500down,05_400up 500down,TRUE
102,102,05_400up 500down,05_400up 500down,TRUE
103,103,05_400up 500down,05_400up 500down,TRUE
104,104,05_400up 500down,05_400up 500down,TRUE
105,105,05_400up 500down,05_400up 500down,TRUE
106,106,05_400up 500down,05_400up 500down,TRUE
107,107,05_400up 500down,05_400up 500down,TRUE
108,108,05_400up 500down,05_400up 500down,TRUE
109,109,05_400up 500down,05_400up 500down,TRUE
110,110,05_400up 500down,05_400up 500down,TRUE
111,111,05_400up 500down,05_400up 500down,TRUE
112,112,05_400up 500down,05_400up 500down,TRUE
113,113,05_400up 500down,05_400up 500down,TRUE
114,114,05_400up 500down,05_400up 500down,TRUE
115,115,05_400up 500down,05_400up 500down,TRUE
116,116,05_400up 500down,05_400up 500down,TRUE
117,117,04_300up 400down,04_300up 400down,TRUE
118,118,04_300up 400down,04_300up 400down,TRUE
119,119,04_300up 400down,04_300up 400down,TRUE
120,120,04_300up 400down,04_300up 400down,TRUE
121,121,04_300up 400down,04_300up 400down,TRUE
122,122,04_300up 400down,04_300up 400down,TRUE
123,123,04_300up 400down,04_300up 400down,TRUE
124,124,04_300up 400down,04_300up 400down,TRUE
125,125,04_300up 400down,04_300up 400down,TRUE
126,126,04_300up 400down,04_300up 400down,TRUE
127,127,04_300up 400down,04_300up 400down,TRUE
128,128,04_300up 400down,04_300up 400down,TRUE
129,129,04_300up 400down,04_300up 400down,TRUE
130,130,04_300up 400down,04_300up 400down,TRUE
131,131,04_300up 400down,04_300up 400down,TRUE
132,132,04_300up 400down,04_300up 400down,TRUE
133,133,04_300up 400down,04_300up 400down,TRUE
134,134,04_300up 400down,04_300up 400down,TRUE
135,135,04_300up 400down,04_300up 400down,TRUE
136,136,04_300up 400down,04_300up 400down,TRUE
137,137,04_300up 400down,04_300up 400down,TRUE
138,138,04_300up 400down,04_300up 400down,TRUE
139,139,04_300up 400down,04_300up 400down,TRUE
140,140,04_300up 400down,04_300up 400down,TRUE
141,141,04_300up 400down,04_300up 400down,TRUE
142,142,04_300up 400down,04_300up 400down,TRUE
143,143,04_300up 400down,04_300up 400down,TRUE
144,144,04_300up 400down,04_300up 400down,TRUE
145,145,04_300up 400down,04_300up 400down,TRUE
146,146,04_300up 400down,04_300up 400down,TRUE
147,147,04_300up 400down,04_300up 400down,TRUE
148,148,04_300up 400down,04_300up 400down,TRUE
149,149,04_300up 400down,04_300up 400down,TRUE
150,150,04_300up 400down,04_300up 400down,TRUE
151,151,04_300up 400down,04_300up 400down,TRUE
152,152,04_300up 400down,04_300up 400down,TRUE
153,153,04_300up 400down,04_300up 400down,TRUE
154,154,04_300up 400down,04_300up 400down,TRUE
155,155,04_300up 400down,04_300up 400down,TRUE
156,156,04_300up 400down,04_300up 400down,TRUE
157,157,04_300up 400down,04_300up 400down,TRUE
158,158,04_300up 400down,04_300up 400down,TRUE
