,movieCd,openDt_score,prdtYear_score,repNationNm_score,repGenreNm_score,showTm_score,watchGradeNm_score,distributor_score,actor_score,starScore,userCount,previous_screen,previous_show,previous_audience,final_audience
0,20129370,6,5,5.6,7.9,6.6,4.6,5.8,98.8,8.47,67132,139,157,22500,17615166
1,20150976,5.2,4.7,5.6,5.2,6.6,5.3,4.3,109.9,7.87,57376,58,62,16199,14410931
2,20137048,5.2,4.5,5.6,3.8,6.6,5.3,5.8,80.9,9.01,41599,222,236,33048,14262636
3,20090834,5.2,3.8,4.2,5.1,7.2,5.3,2.5,36.2,9.06,40992,556,1176,70393,13338087
4,20148048,4.5,4.5,5.6,5.8,6.6,4.6,5.8,105.3,9.01,41051,138,145,25421,13414200
5,20124034,6,4.8,5.6,5.8,6.6,4.6,7.1,128,7.6,20880,62,62,15849,12983841
6,20127593,4.3,4.8,5.6,4,6.6,4.6,5,89.1,8.85,46433,114,115,24700,12811435
7,20148851,6,4.4,5.6,5.8,6.6,4.6,7.1,81.8,8.97,41051,63,64,14375,12706663
8,20124079,4.1,4.8,5.6,7.9,6.6,4.6,5.8,73.6,9.23,27779,37,48,10894,12323595
9,20162869,4.5,4.7,5.6,3.8,6.6,4.6,7.1,113,9.06,48945,462,477,86713,12189195
10,20156564,6,4.3,5.6,5.8,3.6,4.6,5,118,8,59095,1316,2698,565286,11566862
11,20090074,6,3.8,5.6,5.8,6.6,5.3,5.8,108.3,7.49,25855,60,72,14899,11324561
12,20134803,5.2,5,5.6,3.8,6.6,4.6,5,85.5,8.98,95055,87,89,19943,11374879
13,20148493,4,4.5,4.2,5.8,6.6,5.3,7.5,101.9,8.31,31323,10,13,3501,10494499
14,20136803,4.3,5,4.2,3.1,3.6,3.3,7.5,91.5,9.12,37017,25,25,5623,10296101
15,20149120,4,4.5,4.2,5.1,7.2,5.3,5.1,83.4,9.09,50137,248,255,15181,10309432
16,20145507,3.5,4.4,5.6,4.7,6.6,4.6,7.1,69.6,7.94,27757,47,48,13008,9707581
17,20126091,4.1,5,5.6,7.9,6.6,4.6,7.1,106.1,7.97,14564,46,50,10684,9135806
18,20121621,4,5,4.2,5.8,6.6,5.3,7.5,90,8.85,15458,2,2,697,9001331
19,20126674,4.5,5,5.6,5.1,6.6,4.6,5.8,99.7,7.97,37849,900,4475,435146,9350351
20,20159364,4,4.4,4.2,5.8,6.6,5.3,7.5,96.7,8.67,37730,7,8,1264,8677249
21,20131102,4.3,5,5.6,3.8,6.6,4.6,5.8,104,9,20624,140,149,31394,8659725
22,20136064,4.5,4.5,5.6,5.2,6.6,5.3,4.3,73.5,8.27,25575,158,167,35335,8666208
23,20090307,6,3.8,5.6,3.8,6.6,5.3,7.1,98.5,9.13,40883,132,141,17343,8035181
24,20081672,5.2,4.2,5.6,4,3.6,5.3,4.3,78.7,9.2,31621,585,1329,97413,8223342
25,20151228,4.3,4.3,5.6,5.8,6.6,4.6,5.8,67,8.28,25098,84,92,14606,7817618
26,20110659,4.5,4,4.2,5.8,7.2,5.3,5.8,76.8,7.07,13724,24,24,6543,7785189
27,20136068,5.2,4.4,5.6,3.8,6.6,5.3,5.8,67.3,7.98,20765,153,168,26776,7759761
28,20112207,5.2,4,4.2,5.8,6.6,4.6,5.8,30.4,8.73,6649,27,130,20350,7508976
29,20090303,4.5,3.8,4.2,5.1,6.6,5.3,5.8,37.9,8.11,15141,5,7,277,7393443
30,20159646,4.1,4.3,5.6,5.8,6.6,4.6,5.1,92.7,8.42,23789,90,93,18533,7500457
31,20110302,4.5,4,5.6,7.9,6.6,4.6,4.3,77.8,7.92,14204,549,852,100976,7470633
32,20110193,4.6,4,5.6,3.8,6.6,4.6,5.8,98,9.11,18012,538,1124,59922,7363139
33,20167303,6,4.7,4.2,5.8,6.6,5.3,4.6,80.7,8.4,18642,17,17,6197,7258678
34,20170590,5.2,4.7,5.6,3.8,6.6,4.6,5.8,81.8,9.25,31156,165,170,35331,7231770
35,20124083,4.3,4.8,5.6,5.8,6.6,4.6,5.8,81.1,7.81,20164,653,1792,142751,7166532
36,20161725,5.2,4.3,5.6,5.8,6.6,4.6,5.8,83.2,8.1,22146,110,129,23444,7150586
37,20154910,4.5,4.3,5.6,3.8,6.6,5.3,7.1,80.8,8.37,25173,76,80,20854,7120780
38,20124721,4,4.8,4.2,5.8,6.6,5.3,4.6,73.7,8.79,17893,659,1463,79954,7074891
39,20149314,4,4.4,5.6,4.7,6.6,3.6,7.1,77.6,8.98,24945,818,1814,113784,7072507
40,20156250,6,4.3,5.6,5.8,3.6,5.3,5.8,93.3,8.03,40067,70,76,12711,7050475
41,20153444,3.7,4.4,5.6,4,3.6,4.6,7.1,85,8.46,23513,815,1388,146036,6975571
42,20126672,4.5,5,5.6,5.8,6.6,4.6,7.1,83.7,7.11,38176,34,34,9628,6959083
43,20140194,4.6,4.3,5.6,3.4,7.2,4.6,4.6,87,7.6,46264,913,2176,176514,6879989
