,index,prediction,realValue,accuracy
0,[0],16118520.0,[17615166],[91.5]
1,[1],14195884.0,[14410931],[98.51]
2,[2],8584055.0,[14262636],[60.19]
3,[3],7078904.0,[13338087],[53.07]
4,[4],10724592.0,[13414200],[79.95]
5,[5],11026285.0,[12983841],[84.92]
6,[6],9504163.0,[12811435],[74.19]
7,[7],10570660.0,[12706663],[83.19]
8,[8],6419996.0,[12323595],[52.1]
9,[9],12243804.0,[12189195],[99.55]
10,[10],12529450.0,[11566862],[91.68]
11,[11],9809513.0,[11324561],[86.62]
12,[12],12922344.0,[11374879],[86.4]
13,[13],10088102.0,[10494499],[96.13]
14,[14],8533251.0,[10296101],[82.88]
15,[15],9355995.0,[10309432],[90.75]
16,[16],11600168.0,[9707581],[80.5]
17,[17],8930234.0,[9135806],[97.75]
18,[18],8819424.0,[9001331],[97.98]
19,[19],9250056.0,[9350351],[98.93]
20,[20],10208675.0,[8677249],[82.35]
21,[21],7062154.0,[8659725],[81.55]
22,[22],7189961.0,[8666208],[82.97]
23,[23],8273509.0,[8035181],[97.03]
24,[24],6337674.0,[8223342],[77.07]
25,[25],5209237.0,[7817618],[66.63]
26,[26],7158134.0,[7785189],[91.95]
27,[27],5904497.0,[7759761],[76.09]
28,[28],3878390.0,[7508976],[51.65]
29,[29],6050759.0,[7393443],[81.84]
30,[30],7256842.0,[7500457],[96.75]
31,[31],5914271.0,[7470633],[79.17]
32,[32],6211309.0,[7363139],[84.36]
33,[33],8344859.0,[7258678],[85.04]
34,[34],7987770.0,[7231770],[89.55]
35,[35],7218905.0,[7166532],[99.27]
36,[36],8540795.0,[7150586],[80.56]
37,[37],8307597.0,[7120780],[83.33]
38,[38],7469881.0,[7074891],[94.42]
39,[39],6600585.0,[7072507],[93.33]
40,[40],8485757.0,[7050475],[79.64]
41,[41],8118869.0,[6975571],[83.61]
42,[42],8283221.0,[6959083],[80.97]
43,[43],9207428.0,[6879989],[66.17]
44,[44],6678857.0,[6880535],[97.07]
45,[45],6766930.0,[6686054],[98.79]
46,[46],6215698.0,[6655068],[93.4]
47,[47],9311074.0,[6592151],[58.76]
48,[48],7356950.0,[6399303],[85.04]
49,[49],6039487.0,[6178617],[97.75]
50,[50],6019776.0,[6247651],[96.35]
51,[51],7853349.0,[6065474],[70.52]
52,[52],6507818.0,[6126488],[93.78]
53,[53],3876767.0,[6129681],[63.25]
54,[54],7016852.0,[6044956],[83.92]
55,[55],4952022.0,[5835017],[84.87]
56,[56],5149988.0,[5920977],[86.98]
57,[57],6761861.0,[5653270],[80.39]
58,[58],5655286.0,[5604106],[99.09]
59,[59],5029122.0,[5599665],[89.81]
60,[60],6115053.0,[5584139],[90.49]
61,[61],5700854.0,[5546823],[97.22]
62,[62],5500637.0,[5416829],[98.45]
63,[63],6262064.0,[5508299],[86.32]
64,[64],4737146.0,[5397597],[87.76]
65,[65],5422321.0,[5446379],[99.56]
66,[66],6553415.0,[5443049],[79.6]
67,[67],6342078.0,[5399070],[82.53]
68,[68],6006585.0,[5317693],[87.05]
69,[69],4382028.0,[5311353],[82.5]
70,[70],5393597.0,[5295836],[98.15]
71,[71],11363171.0,[11206127],[98.6]
72,[72],4357508.0,[5237525],[83.2]
73,[73],4402421.0,[5181014],[84.97]
74,[74],5124728.0,[5138328],[99.74]
75,[75],4674204.0,[5046096],[92.63]
76,[76],5098195.0,[5064796],[99.34]
77,[77],4288086.0,[4969735],[86.28]
78,[78],5050814.0,[4945484],[97.87]
79,[79],4615716.0,[4909950],[94.01]
80,[80],3628716.0,[4881865],[74.33]
81,[81],4921065.0,[4857152],[98.68]
82,[82],3820595.0,[4853273],[78.72]
83,[83],2520634.0,[4801873],[52.49]
84,[84],4705684.0,[4786259],[98.32]
85,[85],7012799.0,[4775811],[53.16]
86,[86],4297030.0,[4720050],[91.04]
87,[87],2823848.0,[4706158],[60.]
88,[88],4014800.0,[4699307],[85.43]
89,[89],4636409.0,[4682492],[99.02]
