,index,prediction,realValue,accuracy
0,0,11_1000up,11_1000up,True
1,1,11_1000up,11_1000up,True
2,2,11_1000up,11_1000up,True
3,3,11_1000up,11_1000up,True
4,4,11_1000up,11_1000up,True
5,5,11_1000up,11_1000up,True
6,6,11_1000up,11_1000up,True
7,7,11_1000up,11_1000up,True
8,8,11_1000up,11_1000up,True
9,9,11_1000up,11_1000up,True
10,10,11_1000up,11_1000up,True
11,11,11_1000up,11_1000up,True
12,12,11_1000up,11_1000up,True
13,13,11_1000up,11_1000up,True
14,14,11_1000up,11_1000up,True
15,15,11_1000up,11_1000up,True
16,16,10_900up 1000down,10_900up 1000down,True
17,17,10_900up 1000down,10_900up 1000down,True
18,18,10_900up 1000down,10_900up 1000down,True
19,19,10_900up 1000down,10_900up 1000down,True
20,20,09_800up 900down,09_800up 900down,True
21,21,09_800up 900down,09_800up 900down,True
22,22,09_800up 900down,09_800up 900down,True
23,23,11_1000up,09_800up 900down,False
24,24,09_800up 900down,09_800up 900down,True
25,25,08_700up 800down,08_700up 800down,True
26,26,08_700up 800down,08_700up 800down,True
27,27,08_700up 800down,08_700up 800down,True
28,28,08_700up 800down,08_700up 800down,True
29,29,03_200up 300down,08_700up 800down,False
30,30,08_700up 800down,08_700up 800down,True
31,31,08_700up 800down,08_700up 800down,True
32,32,09_800up 900down,08_700up 800down,False
33,33,08_700up 800down,08_700up 800down,True
34,34,08_700up 800down,08_700up 800down,True
35,35,08_700up 800down,08_700up 800down,True
36,36,08_700up 800down,08_700up 800down,True
37,37,08_700up 800down,08_700up 800down,True
38,38,08_700up 800down,08_700up 800down,True
39,39,08_700up 800down,08_700up 800down,True
40,40,08_700up 800down,08_700up 800down,True
41,41,07_600up 700down,07_600up 700down,True
42,42,07_600up 700down,07_600up 700down,True
43,43,07_600up 700down,07_600up 700down,True
44,44,11_1000up,07_600up 700down,False
45,45,07_600up 700down,07_600up 700down,True
46,46,07_600up 700down,07_600up 700down,True
47,47,07_600up 700down,07_600up 700down,True
48,48,07_600up 700down,07_600up 700down,True
49,49,07_600up 700down,07_600up 700down,True
50,50,07_600up 700down,07_600up 700down,True
51,51,08_700up 800down,07_600up 700down,False
52,52,07_600up 700down,07_600up 700down,True
53,53,07_600up 700down,07_600up 700down,True
54,54,07_600up 700down,07_600up 700down,True
55,55,06_500up 600down,06_500up 600down,True
56,56,06_500up 600down,06_500up 600down,True
57,57,06_500up 600down,06_500up 600down,True
58,58,06_500up 600down,06_500up 600down,True
59,59,04_300up 400down,06_500up 600down,False
60,60,06_500up 600down,06_500up 600down,True
61,61,06_500up 600down,06_500up 600down,True
62,62,06_500up 600down,06_500up 600down,True
63,63,06_500up 600down,06_500up 600down,True
64,64,06_500up 600down,06_500up 600down,True
65,65,05_400up 500down,06_500up 600down,False
66,66,06_500up 600down,06_500up 600down,True
67,67,05_400up 500down,06_500up 600down,False
68,68,06_500up 600down,06_500up 600down,True
69,69,05_400up 500down,06_500up 600down,False
70,70,05_400up 500down,06_500up 600down,False
71,71,10_900up 1000down,11_1000up,False
72,72,06_500up 600down,06_500up 600down,True
73,73,08_700up 800down,06_500up 600down,False
74,74,06_500up 600down,06_500up 600down,True
75,75,06_500up 600down,06_500up 600down,True
76,76,04_300up 400down,06_500up 600down,False
77,77,05_400up 500down,05_400up 500down,True
78,78,04_300up 400down,05_400up 500down,False
79,79,05_400up 500down,05_400up 500down,True
80,80,05_400up 500down,05_400up 500down,True
81,81,05_400up 500down,05_400up 500down,True
82,82,05_400up 500down,05_400up 500down,True
83,83,05_400up 500down,05_400up 500down,True
84,84,05_400up 500down,05_400up 500down,True
85,85,05_400up 500down,05_400up 500down,True
86,86,05_400up 500down,05_400up 500down,True
87,87,05_400up 500down,05_400up 500down,True
88,88,05_400up 500down,05_400up 500down,True
89,89,05_400up 500down,05_400up 500down,True
90,90,05_400up 500down,05_400up 500down,True
91,91,05_400up 500down,05_400up 500down,True
92,92,05_400up 500down,05_400up 500down,True
93,93,05_400up 500down,05_400up 500down,True
94,94,05_400up 500down,05_400up 500down,True
95,95,05_400up 500down,05_400up 500down,True
96,96,05_400up 500down,05_400up 500down,True
97,97,05_400up 500down,05_400up 500down,True
98,98,05_400up 500down,05_400up 500down,True
99,99,04_300up 400down,05_400up 500down,False
100,100,05_400up 500down,05_400up 500down,True
101,101,05_400up 500down,05_400up 500down,True
102,102,05_400up 500down,05_400up 500down,True
103,103,05_400up 500down,05_400up 500down,True
104,104,05_400up 500down,05_400up 500down,True
105,105,05_400up 500down,05_400up 500down,True
106,106,05_400up 500down,05_400up 500down,True
107,107,05_400up 500down,05_400up 500down,True
108,108,05_400up 500down,05_400up 500down,True
109,109,02_100up 200down,05_400up 500down,False
110,110,05_400up 500down,05_400up 500down,True
111,111,11_1000up,05_400up 500down,False
112,112,05_400up 500down,05_400up 500down,True
113,113,05_400up 500down,05_400up 500down,True
114,114,05_400up 500down,05_400up 500down,True
115,115,03_200up 300down,05_400up 500down,False
116,116,05_400up 500down,05_400up 500down,True
117,117,04_300up 400down,04_300up 400down,True
118,118,04_300up 400down,04_300up 400down,True
119,119,04_300up 400down,04_300up 400down,True
120,120,04_300up 400down,04_300up 400down,True
121,121,04_300up 400down,04_300up 400down,True
122,122,04_300up 400down,04_300up 400down,True
123,123,05_400up 500down,04_300up 400down,False
124,124,05_400up 500down,04_300up 400down,False
125,125,04_300up 400down,04_300up 400down,True
126,126,04_300up 400down,04_300up 400down,True
127,127,04_300up 400down,04_300up 400down,True
128,128,04_300up 400down,04_300up 400down,True
129,129,04_300up 400down,04_300up 400down,True
130,130,04_300up 400down,04_300up 400down,True
131,131,04_300up 400down,04_300up 400down,True
132,132,04_300up 400down,04_300up 400down,True
133,133,04_300up 400down,04_300up 400down,True
134,134,04_300up 400down,04_300up 400down,True
135,135,04_300up 400down,04_300up 400down,True
136,136,04_300up 400down,04_300up 400down,True
137,137,04_300up 400down,04_300up 400down,True
138,138,04_300up 400down,04_300up 400down,True
139,139,04_300up 400down,04_300up 400down,True
140,140,04_300up 400down,04_300up 400down,True
141,141,03_200up 300down,04_300up 400down,False
142,142,04_300up 400down,04_300up 400down,True
143,143,04_300up 400down,04_300up 400down,True
144,144,04_300up 400down,04_300up 400down,True
145,145,04_300up 400down,04_300up 400down,True
146,146,04_300up 400down,04_300up 400down,True
147,147,04_300up 400down,04_300up 400down,True
148,148,04_300up 400down,04_300up 400down,True
149,149,04_300up 400down,04_300up 400down,True
150,150,04_300up 400down,04_300up 400down,True
151,151,04_300up 400down,04_300up 400down,True
152,152,04_300up 400down,04_300up 400down,True
153,153,04_300up 400down,04_300up 400down,True
154,154,04_300up 400down,04_300up 400down,True
155,155,04_300up 400down,04_300up 400down,True
156,156,04_300up 400down,04_300up 400down,True
157,157,04_300up 400down,04_300up 400down,True
158,158,04_300up 400down,04_300up 400down,True
159,159,04_300up 400down,04_300up 400down,True
160,160,03_200up 300down,03_200up 300down,True
161,161,03_200up 300down,03_200up 300down,True
162,162,04_300up 400down,04_300up 400down,True
163,163,03_200up 300down,03_200up 300down,True
164,164,04_300up 400down,04_300up 400down,True
165,165,04_300up 400down,04_300up 400down,True
166,166,03_200up 300down,03_200up 300down,True
167,167,03_200up 300down,03_200up 300down,True
168,168,03_200up 300down,03_200up 300down,True
169,169,03_200up 300down,03_200up 300down,True
170,170,03_200up 300down,03_200up 300down,True
171,171,03_200up 300down,03_200up 300down,True
172,172,03_200up 300down,03_200up 300down,True
173,173,01_50up 100down,03_200up 300down,False
174,174,04_300up 400down,04_300up 400down,True
175,175,03_200up 300down,03_200up 300down,True
176,176,03_200up 300down,03_200up 300down,True
177,177,03_200up 300down,03_200up 300down,True
178,178,03_200up 300down,03_200up 300down,True
179,179,03_200up 300down,03_200up 300down,True
180,180,03_200up 300down,03_200up 300down,True
