,index,prediction,realValue,accuracy
0,[0],16519485.0,[17615166],[93.78]
1,[1],14338754.0,[14410931],[99.5]
2,[2],12261783.0,[14262636],[85.97]
3,[3],10325892.0,[13338087],[77.42]
4,[4],12026325.0,[13414200],[89.65]
5,[5],12433110.0,[12983841],[95.76]
6,[6],11342527.0,[12811435],[88.53]
7,[7],11756329.0,[12706663],[92.52]
8,[8],11759841.0,[12323595],[95.43]
9,[9],12126962.0,[12189195],[99.49]
10,[10],11106084.0,[11566862],[96.02]
11,[11],11324561.0,[11324561],[100.]
12,[12],10517418.0,[11374879],[92.46]
13,[13],9977947.0,[10494499],[95.08]
14,[14],10311920.0,[10296101],[99.85]
15,[15],10192069.0,[10309432],[98.86]
16,[16],9955742.0,[9707581],[97.44]
17,[17],9206230.0,[9135806],[99.23]
18,[18],7878199.0,[9001331],[87.52]
19,[19],8385879.0,[9350351],[89.69]
20,[20],9085035.0,[8677249],[95.3]
21,[21],8926209.0,[8659725],[96.92]
22,[22],7557767.0,[8666208],[87.21]
23,[23],11588445.0,[8035181],[55.78]
24,[24],7993106.0,[8223342],[97.2]
25,[25],7606103.0,[7817618],[97.29]
26,[26],7453449.0,[7785189],[95.74]
27,[27],7687128.0,[7759761],[99.06]
28,[28],5767487.0,[7508976],[76.81]
29,[29],5697704.0,[7393443],[77.06]
30,[30],8136618.0,[7500457],[91.52]
31,[31],7114726.0,[7470633],[95.24]
32,[32],6280183.0,[7363139],[85.29]
33,[33],7385429.0,[7258678],[98.25]
34,[34],8155263.0,[7231770],[87.23]
35,[35],7104533.0,[7166532],[99.13]
36,[36],7080815.0,[7150586],[99.02]
37,[37],7059479.0,[7120780],[99.14]
38,[38],7095056.0,[7074891],[99.71]
39,[39],8109694.0,[7072507],[85.33]
40,[40],7661941.0,[7050475],[91.33]
41,[41],6768623.0,[6975571],[97.03]
42,[42],7821742.0,[6959083],[87.6]
43,[43],8044123.0,[6879989],[83.08]
44,[44],7554042.0,[6880535],[90.21]
