,index,prediction,realValue,accuracy
0,0,17256145,17615166,97.96
1,1,14506194,14410931,99.34
2,2,10159972,14262636,71.23
3,3,8382440,13338087,62.85
4,4,11776472,13414200,87.79
5,5,11947317,12983841,92.02
6,6,8874787,12811435,69.27
7,7,10750814,12706663,84.61
8,8,6735278,12323595,54.65
9,9,13420787,12189195,89.9
10,10,11061725,11566862,95.63
11,11,10362783,11324561,91.51
12,12,12607303,11374879,89.17
13,13,11196619,10494499,93.31
14,14,9123471,10296101,88.61
15,15,9865602,10309432,95.69
16,16,9789275,9707581,99.16
17,17,10785675,9135806,81.94
18,18,8900122,9001331,98.88
19,19,9508990,9350351,98.3
20,20,10008345,8677249,84.66
21,21,8856015,8659725,97.73
22,22,7669500,8666208,88.5
23,23,6502496,8035181,80.93
24,24,4983674,8223342,60.6
25,25,8737097,7817618,88.24
26,26,8111438,7785189,95.81
27,27,7911490,7759761,98.04
28,28,5891451,7508976,78.46
29,29,6788423,7393443,91.82
30,30,9669852,7500457,71.08
31,31,5770868,7470633,77.25
32,32,4694463,7363139,63.76
33,33,7783456,7258678,92.77
34,34,7549434,7231770,95.61
35,35,7379663,7166532,97.03
36,36,7533139,7150586,94.65
37,37,7587381,7120780,93.45
38,38,7380878,7074891,95.68
39,39,6595579,7072507,93.26
40,40,7521869,7050475,93.31
41,41,8222549,6975571,82.12
42,42,6943448,6959083,99.78
43,43,8187172,6879989,81.0
44,44,5517150,6880535,80.18
45,45,6209571,6686054,92.87
46,46,7450148,6655068,88.05
47,47,6939104,6592151,94.74
48,48,6223181,6399303,97.25
49,49,5314240,6178617,86.01
50,50,8215340,6247651,68.51
51,51,5989830,6065474,98.75
52,52,5584701,6126488,91.16
53,53,4925459,6129681,80.35
54,54,6618607,6044956,90.51
55,55,5448614,5835017,93.38
56,56,6129385,5920977,96.48
57,57,5799622,5653270,97.41
58,58,6036242,5604106,92.29
59,59,5503493,5599665,98.28
60,60,6549165,5584139,82.72
61,61,5794285,5546823,95.54
62,62,5012768,5416829,92.54
63,63,5823684,5508299,94.27
64,64,5178964,5397597,95.95
65,65,5497966,5446379,99.05
66,66,5991619,5443049,89.92
67,67,5204574,5399070,96.4
68,68,6518234,5317693,77.42
69,69,3917891,5311353,73.76
70,70,5277164,5295836,99.65
71,71,10804782,11206127,96.42
72,72,4802079,5237525,91.69
73,73,4294077,5181014,82.88
74,74,5490863,5138328,93.14
75,75,4473864,5046096,88.66
76,76,4565520,5064796,90.14
77,77,4900968,4969735,98.62
78,78,4948846,4945484,99.93
79,79,4843293,4909950,98.64
80,80,4187273,4881865,85.77
81,81,4710867,4857152,96.99
82,82,4723487,4853273,97.33
83,83,1799302,4801873,37.47
84,84,5118752,4786259,93.05
85,85,4517247,4775811,94.59
86,86,4359791,4720050,92.37
87,87,3922004,4706158,83.34
88,88,3874145,4699307,82.44
89,89,4609407,4682492,98.44
90,90,4312036,4654266,92.65
91,91,4765387,4667179,97.9
92,92,5557842,4662926,80.81
93,93,3572828,4598985,77.69
94,94,5617333,4584800,77.48
95,95,3787616,4499776,84.17
96,96,3012125,4578239,65.79
97,97,5731475,4515833,73.08
98,98,3853638,4425003,87.09
99,99,5303946,4452755,80.88
100,100,3945446,4421210,89.24
101,101,4192977,4300365,97.5
102,102,4985687,4313871,84.43
103,103,3853905,4313102,89.35
104,104,4417421,4288750,97.0
105,105,4916245,4168353,82.06
106,106,3600755,4111753,87.57
107,107,3729295,4131338,90.27
108,108,3481244,4112608,84.65
109,109,3111348,4090885,76.06
110,110,3936256,4039891,97.43
111,111,4747478,4175526,86.3
112,112,4241415,4058225,95.49
113,113,3171753,4018872,78.92
114,114,4234007,4018341,94.63
115,115,4623737,4002560,84.48
116,116,4439799,4015361,89.43
117,117,4608238,3984814,84.35
118,118,3948798,3963251,99.64
119,119,4816615,3897969,76.43
120,120,5452908,3872015,59.17
121,121,4159337,3849700,91.96
122,122,4207709,3871214,91.31
123,123,3042165,3849129,79.04
124,124,2948857,3749034,78.66
125,125,3883729,3728439,95.83
126,126,3176922,3689325,86.11
127,127,3557489,3653238,97.38
128,128,4705280,3711224,73.21
129,129,3353442,3611166,92.86
130,130,3967015,3587182,89.41
131,131,2679216,3579666,74.85
132,132,3177688,3496526,90.88
133,133,3873316,3566852,91.41
134,134,3255108,3513137,92.66
135,135,4009546,3460212,84.12
136,136,3014504,3450305,87.37
137,137,1777407,3429640,51.82
138,138,2989903,3436092,87.01
139,139,3849837,3418403,87.38
140,140,3369329,3350311,99.43
141,141,2852417,3330326,85.65
142,142,3364526,3379762,99.55
143,143,2849659,3396313,83.9
144,144,3402358,3324874,97.67
145,145,4010448,3317196,79.1
146,146,4117361,3280993,74.51
147,147,4214599,3273879,71.27
148,148,3032043,3248904,93.33
149,149,3535463,3240370,90.89
