,index,prediction,realValue,accuracy
0,0,18265660,17615166,96.31
1,1,14654568,14410931,98.31
2,2,10828981,14262636,75.93
3,3,9030965,13338087,67.71
4,4,12172844,13414200,90.75
5,5,12449280,12983841,95.88
6,6,9315987,12811435,72.72
7,7,11028534,12706663,86.79
8,8,7066401,12323595,57.34
9,9,13227656,12189195,91.48
10,10,11438347,11566862,98.89
11,11,10758114,11324561,95.0
12,12,12940919,11374879,86.23
13,13,11668460,10494499,88.81
14,14,9731997,10296101,94.52
15,15,10184400,10309432,98.79
16,16,9566350,9707581,98.55
17,17,10299046,9135806,87.27
18,18,9313096,9001331,96.54
19,19,9757042,9350351,95.65
20,20,9326896,8677249,92.51
21,21,8979955,8659725,96.3
22,22,7499244,8666208,86.53
23,23,6894877,8035181,85.81
24,24,5293222,8223342,64.37
25,25,8499999,7817618,91.27
26,26,8423771,7785189,91.8
27,27,7307232,7759761,94.17
28,28,6219376,7508976,82.83
29,29,6927542,7393443,93.7
30,30,9005917,7500457,79.93
31,31,6090065,7470633,81.52
32,32,5088518,7363139,69.11
33,33,7325037,7258678,99.09
34,34,8009537,7231770,89.25
35,35,7409101,7166532,96.62
36,36,7349837,7150586,97.21
37,37,7786444,7120780,90.65
38,38,7786083,7074891,89.95
39,39,6650219,7072507,94.03
40,40,7892579,7050475,88.06
41,41,7452575,6975571,93.16
42,42,7175616,6959083,96.89
43,43,8043832,6879989,83.08
44,44,5692575,6880535,82.73
45,45,6454881,6686054,96.54
46,46,7569877,6655068,86.25
47,47,7135437,6592151,91.76
48,48,6727426,6399303,94.87
49,49,5661332,6178617,91.63
50,50,8179073,6247651,69.09
51,51,6512229,6065474,92.63
52,52,6190860,6126488,98.95
53,53,4758639,6129681,77.63
54,54,6641035,6044956,90.14
55,55,5581603,5835017,95.66
56,56,6351040,5920977,92.74
57,57,6391224,5653270,86.95
58,58,6402976,5604106,85.74
59,59,5558264,5599665,99.26
60,60,6851665,5584139,77.3
61,61,5609153,5546823,98.88
62,62,5149136,5416829,95.06
63,63,6077854,5508299,89.66
64,64,5450776,5397597,99.01
65,65,5352376,5446379,98.27
66,66,5815341,5443049,93.16
67,67,5284799,5399070,97.88
68,68,6078676,5317693,85.69
69,69,4068101,5311353,76.59
70,70,5193318,5295836,98.06
71,71,10614324,11206127,94.72
72,72,4856462,5237525,92.72
73,73,4372579,5181014,84.4
74,74,5339384,5138328,96.09
75,75,4698376,5046096,93.11
76,76,4551699,5064796,89.87
77,77,4728247,4969735,95.14
