,index,prediction,realValue,accuracy
0,0,15758355,17615166,89.46
1,1,13959287,14410931,96.87
2,2,13127091,14262636,92.04
3,3,11863684,13338087,88.95
4,4,12980854,13414200,96.77
5,5,12290133,12983841,94.66
6,6,11422478,12811435,89.16
7,7,12390506,12706663,97.51
8,8,10309646,12323595,83.66
9,9,12253810,12189195,99.47
10,10,12056422,11566862,95.77
11,11,10989424,11324561,97.04
12,12,11906338,11374879,95.33
13,13,10318648,10494499,98.32
14,14,10234541,10296101,99.4
15,15,10594338,10309432,97.24
16,16,9578425,9707581,98.67
17,17,9158583,9135806,99.75
18,18,8712832,9001331,96.79
19,19,10034945,9350351,92.68
20,20,8843069,8677249,98.09
21,21,9124666,8659725,94.63
22,22,8546939,8666208,98.62
23,23,6862407,8035181,85.4
24,24,7006008,8223342,85.2
25,25,8895736,7817618,86.21
26,26,7654761,7785189,98.32
27,27,8295142,7759761,93.1
28,28,7664647,7508976,97.93
29,29,7384950,7393443,99.89
30,30,9045880,7500457,79.4
31,31,6613019,7470633,88.52
32,32,5329512,7363139,72.38
33,33,7542060,7258678,96.1
34,34,7143958,7231770,98.79
35,35,7099836,7166532,99.07
36,36,7709648,7150586,92.18
37,37,7233581,7120780,98.42
38,38,7311514,7074891,96.66
39,39,6809638,7072507,96.28
40,40,7008149,7050475,99.4
41,41,7456386,6975571,93.11
42,42,7083838,6959083,98.21
43,43,7732044,6879989,87.62
44,44,4454699,6880535,64.74
45,45,6614214,6686054,98.93
46,46,7641386,6655068,85.18
47,47,6233784,6592151,94.56
48,48,6356930,6399303,99.34
49,49,6170544,6178617,99.87
50,50,6422966,6247651,97.19
51,51,5936433,6065474,97.87
52,52,5841019,6126488,95.34
53,53,5691475,6129681,92.85
54,54,6224294,6044956,97.03
55,55,5671415,5835017,97.2
56,56,5820022,5920977,98.29
57,57,5779737,5653270,97.76
58,58,6232882,5604106,88.78
59,59,5697395,5599665,98.25
60,60,5657083,5584139,98.69
61,61,5528385,5546823,99.67
62,62,5633659,5416829,96.0
63,63,5513839,5508299,99.9
64,64,5203441,5397597,96.4
65,65,6828218,5446379,74.63
66,66,5701385,5443049,95.25
67,67,5602402,5399070,96.23
68,68,5653194,5317693,93.69
69,69,4990142,5311353,93.95
70,70,4892278,5295836,92.38
71,71,9816261,11206127,87.6
72,72,5131520,5237525,97.98
73,73,3923486,5181014,75.73
74,74,5105199,5138328,99.36
75,75,4998961,5046096,99.07
76,76,7257466,5064796,56.71
77,77,4728925,4969735,95.15
78,78,3868263,4945484,78.22
79,79,5420416,4909950,89.6
80,80,4810997,4881865,98.55
81,81,4802961,4857152,98.88
82,82,4855981,4853273,99.94
83,83,3717569,4801873,77.42
84,84,5170918,4786259,91.96
85,85,4617557,4775811,96.69
86,86,4729829,4720050,99.79
87,87,4187606,4706158,88.98
88,88,4490101,4699307,95.55
89,89,4467494,4682492,95.41
90,90,4679501,4654266,99.46
91,91,4697936,4667179,99.34
92,92,4918185,4662926,94.53
93,93,4287064,4598985,93.22
94,94,4883584,4584800,93.48
95,95,4383687,4499776,97.42
96,96,3981691,4578239,86.97
97,97,4925178,4515833,90.94
98,98,4070495,4425003,91.99
99,99,4940120,4452755,89.05
100,100,4436208,4421210,99.66
101,101,4273719,4300365,99.38
102,102,4711230,4313871,90.79
103,103,4377987,4313102,98.5
104,104,4217491,4288750,98.34
105,105,4320762,4168353,96.34
106,106,4076866,4111753,99.15
107,107,3730424,4131338,90.3
108,108,4016654,4112608,97.67
109,109,3177196,4090885,77.67
110,110,3986127,4039891,98.67
111,111,4506330,4175526,92.08
112,112,4069441,4058225,99.72
113,113,3838340,4018872,95.51
114,114,4220272,4018341,94.97
115,115,4528690,4002560,86.86
116,116,4032286,4015361,99.58
117,117,3803421,3984814,95.45
118,118,3869955,3963251,97.65
119,119,4221246,3897969,91.71
120,120,4292073,3872015,89.15
121,121,3724691,3849700,96.75
122,122,4092928,3871214,94.27
123,123,2587509,3849129,67.22
124,124,3437507,3749034,91.69
125,125,3924086,3728439,94.75
126,126,3484015,3689325,94.44
127,127,3789865,3653238,96.26
128,128,4313837,3711224,83.76
129,129,3556942,3611166,98.5
130,130,3713774,3587182,96.47
131,131,3190741,3579666,89.14
132,132,3468419,3496526,99.2
133,133,3537074,3566852,99.17
134,134,3437650,3513137,97.85
135,135,4432604,3460212,71.9
136,136,3148771,3450305,91.26
137,137,3158882,3429640,92.11
138,138,3088067,3436092,89.87
139,139,3559234,3418403,95.88
140,140,3299993,3350311,98.5
141,141,2918832,3330326,87.64
142,142,3204096,3379762,94.8
143,143,3289877,3396313,96.87
144,144,3324234,3324874,99.98
145,145,3497129,3317196,94.58
146,146,3369297,3280993,97.31
147,147,3223128,3273879,98.45
