,actor,final_audience_y
0, ,2.0
1,G-드래곤,2.0
2,J.K. 시몬스,32.0
3,RJ 사일러,2.0
4,T.J. 밀러,26.0
5,가렛 헤드룬드,6.0
6,가브리엘 베이트먼,6.0
7,가비 호프만,2.0
8,가엘 가르시아 베르날,14.0
9,가이 피어스,40.0
10,가인,2.0
11,갈소원,24.0
12,감우성,6.0
13,강 숙,2.0
14,강경일,2.0
15,강경자,4.0
16,강경준,8.0
17,강경현,2.0
18,강경훈,2.0
19,강계열,12.0
20,강광희,2.0
21,강규영,12.0
22,강기동,4.0
23,강기영,4.0
24,강기화,4.0
25,강길남,2.0
26,강남영,2.0
27,강남현,10.0
28,강다연,4.0
29,강다영,6.0
30,강다현,10.0
31,강대규,24.0
32,강대연,2.0
33,강대영,2.0
34,강대현,2.0
35,강대희,8.0
36,강동원,120.0
37,강동호,8.0
38,강래연,2.0
39,강명관,2.0
40,강명희,4.0
41,강문,2.0
42,강문정,4.0
43,강미경,2.0
44,강민우,6.0
45,강민정,2.0
46,강민혁,6.0
47,강별,4.0
48,강병조,2.0
49,강병철,4.0
50,강봉성,2.0
51,강성진,2.0
52,강성훈,2.0
53,강소라,32.0
54,강소백,6.0
55,강수연,2.0
56,강수진,13.999999999999998
57,강수한,2.0
58,강승헌,4.0
59,강신일,68.0
60,강신효,2.0
61,강예원,46.0
62,강인,8.0
63,강지원,30.0
64,강지환,26.000000000000004
65,강태수,6.0
66,강태영,2.0
67,강하나,10.0
68,강하늘,52.0
69,강한나,2.0
70,강혜정,10.0
71,강호철,2.0
72,강희선,4.0
73,개반 오헐리히,2.0
74,갤 가돗,16.0
75,게리 올드만,63.99999999999999
76,견미리,10.0
77,견자단,18.0
78,경규원,6.0
79,경수진,8.0
80,경첨,4.0
81,계륜미,2.0
82,고경표,12.0
83,고규필,2.0
84,고길주,2.0
85,고대영,2.0
86,고두심,12.0
87,고수,52.0
88,고수희,20.0
89,고아라,16.0
90,고아성,14.0
91,고원원,2.0
92,고은아,4.0
93,고준,6.0
94,고준희,20.0
95,고창석,108.0
96,고천락,4.0
97,고현정,8.0
98,골시프테 파라하니,2.0
99,공리,4.0
100,공예지,2.0
101,공유,74.0
102,공형진,6.0
103,공효진,30.0
104,곽규미,2.0
105,곽도원,113.99999999999999
106,곽민호,8.0
107,곽사연,2.0
108,곽선영,4.0
109,곽시양,8.0
110,곽지혜,2.0
111,구교환,4.0
112,구구 바샤-로,2.0
113,구민선,2.0
114,구본웅,4.0
115,구자형,8.0
116,권병길,6.0
117,권상우,32.0
118,권세인,8.0
119,권영국,6.0
120,권오중,8.0
121,권유리,2.0
122,권율,16.0
123,권재현,2.0
124,권지훈,24.0
125,권진영,2.0
126,권해효,14.0
127,권혁석,4.0
128,권현상,4.0
129,귀욤 고익스,2.0
130,그레이스 검머,2.0
131,그레이엄 그린,2.0
132,그레타 거윅,2.0
133,그렉 버거,2.0
134,그렉 이글스,2.0
135,그렉 키니어,2.0
136,글렌 클로즈,4.0
137,글렌 하사드,2.0
138,금성무,14.0
139,기네스 팰트로우,50.0
140,기무라 타쿠야,2.0
141,기주봉,8.0
142,기타노 다케시,4.0
143,김가령,2.0
144,김갑수,20.0
145,김강우,55.99999999999999
146,김경란,6.0
147,김경희,2.0
148,김고은,26.000000000000004
149,김광규,6.0
150,김광석,2.0
151,김광일,16.0
152,김광호,6.0
153,김구택,18.0
154,김규동,6.0
155,김규리,12.0
156,김규백,32.0
157,김기범,2.0
158,김기석,10.0
159,김기천,10.0
160,김기철,2.0
161,김기현,26.0
162,김기훈,2.0
163,김꽃비,2.0
164,김남길,62.0
165,김다미,2.0
166,김다율,4.0
167,김단율,4.0
168,김대명,24.0
169,김도균,12.0
170,김도연,2.0
171,김동영,14.0
172,김동완,14.0
173,김동욱,66.0
174,김동윤,2.0
175,김동준,6.0
176,김동현,4.0
177,김동협,6.0
178,김동호,2.0
179,김동희,6.0
180,김라희,6.0
181,김래원,26.0
182,김뢰하,12.0
183,김명곤,24.0
184,김명민,88.0
185,김명성,2.0
186,김명수,10.0
187,김명은,2.0
188,김명일,2.0
189,김명준,6.0
190,김무열,58.0
191,김미경,6.0
192,김미랑,2.0
193,김미소,4.0
194,김미숙,8.0
195,김미진,8.0
196,김민경,2.0
197,김민교,10.0
198,김민국,12.0
199,김민규,2.0
200,김민석,2.0
201,김민선,14.0
202,김민수,2.0
203,김민영,12.0
204,김민욱,4.0
205,김민자,8.0
206,김민재,6.0
207,김민정,14.0
208,김민준,14.0
209,김민채,8.0
210,김민희,43.99999999999999
211,김범,12.0
212,김병만,4.0
213,김병옥,16.0
214,김병철,6.0
215,김보라,6.0
216,김보연,2.0
217,김보영,2.0
218,김사랑,2.0
219,김산호,4.0
220,김상경,44.0
221,김상중,8.0
222,김상호,56.0
223,김새론,32.0
224,김새벽,2.0
225,김새해,2.0
226,김서영,20.0
227,김서형,6.0
228,김석태,6.0
229,김석훈,2.0
230,김선경,2.0
231,김선아,10.0
232,김선영,6.0
233,김선혜,20.0
234,김선화,6.0
235,김성균,106.00000000000001
236,김성령,22.0
237,김성수,10.0
238,김성연,2.0
239,김성오,44.0
240,김성은,2.0
241,김성종,6.0
242,김성태,14.0
243,김소연,2.0
244,김소영,2.0
245,김소은,2.0
246,김소진,10.0
247,김소현,8.0
248,김소희,2.0
249,김솔,2.0
250,김수남,8.0
251,김수로,26.0
252,김수미,42.0
253,김수안,32.0
254,김수웅,4.0
255,김수정,4.0
256,김수현,30.0
257,김순모,4.0
258,김슬기,10.0
259,김승아,8.0
260,김승우,14.0
261,김승욱,6.0
262,김승훈,8.0
263,김시권,16.0
264,김시운,6.0
265,김시후,24.0
266,김아중,24.0
267,김여진,6.0
268,김연우,2.0
269,김영광,12.0
270,김영근,2.0
271,김영민,4.0
272,김영애,62.0
273,김영옥,2.0
274,김영은,4.0
275,김영재,4.0
276,김영찬,2.0
277,김영철,10.0
278,김영현,4.0
279,김영호,12.0
280,김영화,2.0
281,김영훈,16.0
282,김예론,4.0
283,김예원,6.0
284,김옥경,10.0
285,김옥빈,32.00000000000001
286,김용건,8.0
287,김용헌,2.0
288,김우빈,44.0
289,김원,4.0
290,김원명,2.0
291,김원영,10.0
292,김원중,4.0
293,김원해,40.0
294,김원효,12.0
295,김유나,6.0
296,김유미,2.0
297,김유선,2.0
298,김유인,4.0
299,김유정,31.999999999999996
300,김윤석,178.0
301,김윤성,6.0
302,김윤안,2.0
303,김윤영,2.0
304,김윤진,58.0
305,김윤태,8.0
306,김윤혜,4.0
307,김율,6.0
308,김율호,44.0
309,김은겸,2.0
310,김은혜,2.0
311,김응수,40.0
312,김의성,64.0
313,김인권,100.0
314,김인우,14.0
315,김장겸,2.0
316,김재덕,2.0
317,김재욱,6.0
318,김재준,6.0
319,김재중,4.0
320,김재철,2.0
321,김재화,2.0
322,김정국,4.0
323,김정석,6.0
324,김정아,2.0
325,김정영,4.0
326,김정은,24.0
327,김정철,18.0
328,김정태,54.0
329,김정현,2.0
330,김정훈,2.0
331,김정희,28.0
332,김종구,2.0
333,김종수,36.0
334,김주혁,48.0
335,김준면,4.0
336,김준성,10.0
337,김준현,4.0
338,김중기,4.0
339,김지경,4.0
340,김지민,2.0
341,김지석,24.0
342,김지영,12.0
343,김지원,10.0
344,김지은,4.0
345,김지혜,2.0
346,김지호,10.0
347,김지환,8.0
348,김지훈,2.0
349,김진희,8.0
350,김창숙,2.0
351,김창완,2.0
352,김태균,10.0
353,김태리,36.0
354,김태연,2.0
355,김태우,30.0
356,김태웅,6.0
357,김태한,14.0
358,김태호,8.0
359,김태훈,24.0
360,김태희,2.0
361,김하늘,34.0
362,김하영,8.0
363,김한나,14.0
364,김한솔,8.0
365,김해숙,94.0
366,김해진,2.0
367,김향기,58.0
368,김혁,6.0
369,김현빈,14.0
370,김현석,2.0
371,김현수,26.0
372,김현숙,22.0
373,김현심,2.0
374,김현아,2.0
375,김현우,2.0
376,김현욱,2.0
377,김현정,2.0
378,김현주,2.0
379,김현지,6.0
380,김현철,2.0
381,김형범,2.0
382,김형용,2.0
383,김형일,8.0
384,김형주,2.0
385,김혜린,2.0
386,김혜선,6.0
387,김혜성,20.0
388,김혜수,70.0
389,김혜숙,10.0
390,김혜옥,22.0
391,김혜인,2.0
392,김혜자,10.0
393,김혜정,10.0
394,김혜진,8.0
395,김호성,4.0
396,김호연,42.0
397,김호정,2.0
398,김홍균,2.0
399,김홍재,2.0
400,김홍파,26.0
401,김화영,6.0
402,김환진,8.0
403,김환희,16.0
404,김효수,2.0
405,김효숙,14.0
406,김효식,2.0
407,김효연,8.0
408,김효진,14.0
409,김흥국,4.0
410,김흥수,2.0
411,김희라,2.0
