,director,director_score
0, ,2
1,D.J. 카루소,14
2,F. 게리 그레이,14
3,J 블레이크슨,2
4,J.J. 에이브럼스,24
5,M. 나이트 샤말란,20
6,P.J. 호건,2
7,가네다 오사무,2
8,가렛 에드워즈,10
9,가버 추보,2
10,가브리엘 무치노,4
11,가스 데이비스,2
12,가스 제닝스,6
13,가이 리치,20
14,강건향 ,2
15,강대규,10
16,강석범,4
17,강우석,38
18,강윤성,16
19,강이관,2
20,강제규,14
21,강철우,2
22,강형철,52
23,강효진,10
24,개리 맥켄드리,2
25,개리 쇼어,6
26,개빈 오코너,2
27,개빈 후드,10
28,게리 로스,4
29,게리 마샬,2
30,게리 위닉,6
31,계윤식,2
32,고레에다 히로카즈,6
33,고로 사쿠라,2
34,고석진,2
35,고어 버빈스키,6
36,공수창,4
37,곽경택,30
38,곽재용,6
39,구 안 호,2
40,구수환,2
41,구자홍,2
42,국동석,6
43,권상준,2
44,권수경,8
45,권오광,2
46,권종관,6
47,권칠인,14
48,권혁만,2
49,권혁재,6
50,권형진,8
51,권호영,8
52,그레고리 플로킨,2
53,그레고리 호블릿,2
54,그레이엄 애나블,2
55,그레타 거윅,2
56,그렉 마크스,2
57,그렉 모톨라,2
58,그리핀 던,2
59,글렌 피카라,2
60,기예르모 델 토로,4
61,기옘 모랄레스,2
62,기타무라 류헤이,2
63,길예르모 델 토로,8
64,길예르모 델 토로 ,2
65,김곡,4
66,김광식,10
67,김광태,4
68,김기덕,8
69,김달중,2
70,김대승,12
71,김대우,14
72,김덕수,4
73,김동민,2
74,김동빈,2
75,김동욱 ,4
76,김동원,12
77,김민석,8
78,김병곤 ,4
79,김병우,14
80,김봉주,6
81,김봉한,2
82,김상만,10
83,김상진,8
84,김상철,2
85,김상화,2
86,김석윤,30
87,김성수,18
88,김성제,2
89,김성호,4
90,김성홍,6
91,김성훈,48
92,김아론,2
93,김영준 ,2
94,김영탁,16
95,김용균,12
96,김용한,4
97,김용화,50
98,김유진 ,10
99,김익로,2
100,김일란,2
101,김정권,6
102,김정민 ,2
103,김정환,2
104,김정훈,16
105,김제영,4
106,김조광수,2
107,김종관,4
108,김종철,2
109,김종현,6
110,김주호,12
111,김주환,14
112,김준성,2
113,김지열,2
114,김지영,4
115,김지운,44
116,김지훈,22
117,김진만,2
118,김진무,2
119,김진영,20
120,김철한,2
121,김태경,4
122,김태곤,8
123,김태균,8
124,김태용,6
125,김태윤,10
126,김학순,16
127,김한민,46
128,김해곤,4
129,김현석,28
130,김현주,2
131,김현호,4
132,김형주,8
133,김형준,12
134,김형협,4
135,김홍선,16
136,김휘,10
137,나가미네 타츠야,2
138,나가이 아키라,2
139,나가이시 다카오,2
140,나오미 포너,2
141,나카무라 요시히로,2
142,나카자와 쇼지로,2
143,나카타 히데오,2
144,나현,8
145,나홍진,38
146,남대중,2
147,낸시 마이어스,12
148,네이슨 그레노,6
149,넬슨 신,2
150,노덕,10
151,노동석,6
152,노아 바움백,4
153,노암 머로,6
154,노엘 클리어리,2
155,니마 누리자데,2
156,니시타니 히로시,2
157,니콜라스 스톨러,2
158,니콜라이 아르셀,2
159,니콜라이 퓰시,2
160,니키 팰런,2
161,니테쉬 티와리,2
162,니티왓 다라톤,2
163,닉 카사베츠,6
164,닉힐 아드바니,2
165,닐 나이팅게일,2
166,닐 마샬,4
167,닐 버거,4
168,닐 블롬캠프,14
169,님로드 안탈,2
170,닛타 노리오,2
171,다니엘 미릭,2
172,다니엘 반즈,2
173,다니엘 스탬,2
174,다니엘 에스피노사,2
