,movieCd,story,poster,link,video,movieNm,director,actor1,actor2,actor3,repNationNm,repGenreNm,showTm,watchGradeNm,openDt,index,prediction,realValue,accuracy,predictionGraph,D0_prediction,D0_realValue,D0_accuracy
0,20129370,1597년 임진왜란 6년  <br/>?오랜 전쟁으로 인해 혼란이 극에 달한 조선. <br/>?무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자<br/>?누명을 쓰고 파면 당했던 이순신 장군(최민식)이 삼도수군통제사로 재임명된다. <br/>?<br/>?하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성  <br/>?그리고 12척의 배 뿐. <br/>?마지막 희망이었던 거북선마저 불타고<br/>?잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마(류승룡)가 왜군 수장으로 나서자 조선은 더욱 술렁인다.  <br/>?<br/>?330척에 달하는 왜군의 배가 속속 집결하고<br/>?압도적인 수의 열세에 모두가 패배를 직감하는 순간 <br/>?이순신 장군은 단 12척의 배를 이끌고 명량 바다를 향해 나서는데…!<br/>?<br/>?12척의 조선 vs 330척의 왜군<br/>?역사를 바꾼 위대한 전쟁이 시작된다!,https://movie-phinf.pstatic.net/20140721_186/1405911310756Tt2X1_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93756,https://kakaotv.daum.net/embed/player/cliplink/v5231ouu8uHuf8HB8oIBMMP@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,명량,김한민,최민식,류승룡,조진웅,한국,사극,128분,15세이상관람가,2014.07.30,0,17303065,17615166,98.23,plt_0.png,11_1000up,11_1000up,TRUE
1,20150976,저승 법에 의하면  모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다.<br/>?살인  나태  거짓  불의  배신  폭력  천륜<br/>?7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다. <br/>?<br/>?“김자홍 씨께선  오늘 예정 대로 무사히 사망하셨습니다”<br/>?<br/>?화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍  그의 앞에 저승차사 해원맥과 덕춘이 나타난다.<br/>?자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다.<br/>?저승으로 가는 입구  초군문에서 그를 기다리는 또 한 명의 차사 강림 <br/>?그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7개의 재판에서 변호를 맡아줄 변호사이기도 하다.<br/>?염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들 <br/>?그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만 <br/>?각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데…<br/>?<br/>?누구나 가지만 아무도 본 적 없는 곳 <br/>?새로운 세계의 문이 열린다!,https://movie-phinf.pstatic.net/20171201_181/1512109983114kcQVl_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85579,https://kakaotv.daum.net/embed/player/cliplink/v1972FUagFU5HC8HXF55h11@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,신과함께-죄와 벌,김용화,하정우,차태현,주지훈,한국,판타지,139분,12세이상관람가,2017.12.20,1,14656455,14410931,98.3,plt_1.png,11_1000up,11_1000up,TRUE
2,20137048,1950년대 한국전쟁 이후로부터 현재에 이르기까지 격변의 시대를 관통하며 살아온 우리 시대 아버지 ‘덕수’(황정민 분)  그는 하고 싶은 것도 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적이 없다. ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절  오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기가 지금부터 시작된다.,https://movie-phinf.pstatic.net/20141124_107/141679124450580TTS_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,https://kakaotv.daum.net/embed/player/cliplink/ve94d8vA1zNz225e2QmNgem@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,국제시장,윤제균,황정민,김윤진,오달수,한국,드라마,126분,12세이상관람가,2014.12.17,2,14273414,14262636,99.92,plt_2.png,11_1000up,11_1000up,TRUE
3,20148048,한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’(황정민) <br/>?20년 경력의 승부사 ‘오팀장’(오달수)  위장 전문 홍일점 ‘미스봉’(장윤주)  육체파 ‘왕형사’(오대환)  막내 ‘윤형사’(김시후)까지 <br/>?겁 없고  못 잡는 것 없고  봐 주는 것 없는 특수 강력사건 담당 광역수사대.<br/>?<br/>?오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나  <br/>?서도철은 재벌 3세 ‘조태오’(유아인)를 만나게 된다. <br/>?세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’(유해진). <br/>?서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. <br/>?<br/>?건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에<br/>?판은 걷잡을 수 없이 커져가고 <br/>?조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데… <br/>?<br/>?베테랑 광역수사대 VS 유아독존 재벌 3세<br/>?2015년 여름  자존심을 건 한판 대결이 시작된다!,https://movie-phinf.pstatic.net/20150622_131/14349365467550iQnC_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115977,https://kakaotv.daum.net/embed/player/cliplink/v45b6h71h1N11C5UzkUA8T7@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,베테랑,류승완,황정민,유아인,유해진,한국,액션,124분,15세이상관람가,2015.08.05,3,13420778,13414200,99.95,plt_4.png,11_1000up,11_1000up,TRUE
4,20090834,"지구 에너지 고갈 문제를 해결하기 위해 <br/>?판도라 행성으로 향한 인류는 원주민 ‘나비족’과 대립하게 된다. <br/>?이 과정에서  전직 해병대원 제이크 설리(샘 워싱턴)가 <br/>?‘아바타’ 프로그램을 통해 ‘나비족’의 중심부에 투입되는데… <br/>? <br/>?피할 수 없는 전쟁! 이 모든 운명을 손에 쥔 제이크! <br/>?그 누구도 넘보지 못한 역대급 세계가 열린다! <br/>? <br/>?아바타: 인간과 ‘나비족’의 DNA를 결합해 만들어졌으며 <br/>?링크룸을 통해 인간의 의식으로 원격 조종할 수 있는 새로운 생명체",https://movie-phinf.pstatic.net/20180518_218/1526609377997LxLgL_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,https://kakaotv.daum.net/embed/player/cliplink/ve51ahltY5tlbjObf5CYlXb@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,아바타,제임스 카메론,샘 워싱턴,조 샐다나,시고니 위버,미국,SF,162분,12세이상관람가,2009.12.17,4,13300555,13338087,99.72,plt_3.png,11_1000up,11_1000up,TRUE
5,20124034,한 팀으로 활동 중인 한국의 도둑 뽀빠이와 예니콜  씹던껌  잠파노. 미술관을 터는데 멋지게 성공한 이들은 뽀빠이의 과거 파트너였던 마카오박이 제안한 홍콩에서의 새로운 계획을 듣게 된다. 여기에 마카오박이 초대하지 않은 손님  감옥에서 막 출소한 금고털이 팹시가 합류하고 5명은 각자 인생 최고의 반전을 꿈꾸며 홍콩으로 향한다.<br/>?홍콩에서 한국 도둑들을 기다리고 있는 4인조 중국도둑 첸  앤드류  쥴리  조니. 최고의 전문가들이 세팅된 가운데 서로에 대한 경계를 늦추지 않는 한국과 중국의 도둑들. 팽팽히 흐르는 긴장감 속에 나타난 마카오박은 자신이 계획한 목표물을 밝힌다. 그것은 마카오 카지노에 숨겨진 희대의 다이아몬드 <태양의 눈물>. 성공을 장담할 수 없는 위험천만한 계획이지만 2천만 달러의 달콤한 제안을 거부할 수 없는 이들은 태양의 눈물을 훔치기 위한 작업에 착수한다. <br/>?그러나 진짜 의도를 알 수 없는 비밀스런 마카오박과 그런 마카오박의 뒤통수를 노리는 뽀빠이  마카오박에게 배신당한 과거의 기억을 잊지 못하는 팹시와 팀보다 눈 앞의 현찰을 먼저 챙기는 예니콜  그리고 한국 도둑들을 믿지 않는 첸과 중국 도둑들까지. 훔치기 위해 모였지만 목적은 서로 다른 10인의 도둑들은 서서히 자신만의 플랜을 세우기 시작하는데…,https://movie-phinf.pstatic.net/20120718_209/1342589585791cltsr_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=78726,https://kakaotv.daum.net/embed/player/cliplink/v375fjz3jtUtujnAzuUAtaL@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,도둑들,최동훈,김윤석,김혜수,이정재,한국,액션,135분,15세이상관람가,2012.07.25,5,12944729,12983841,99.7,plt_5.png,11_1000up,11_1000up,TRUE
6,20127593,최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다!<br/>?그는 바로 6살 지능의 딸바보 '용구'! <br/>?평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 '용구' 딸 '예승'이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것!<br/>?2013년 새해  웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,https://movie-phinf.pstatic.net/20130118_115/1358472020816kP4vN_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94775,https://kakaotv.daum.net/embed/player/cliplink/vd04brzCC1UCrUuooiraoEE@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,7번방의 선물,이환경,류승룡,박신혜,갈소원,한국,코미디,127분,15세이상관람가,2013.01.23,6,12740497,12811435,99.45,plt_6.png,11_1000up,11_1000up,TRUE
7,20148851,1933년 조국이 사라진 시대<br/>?대한민국 임시정부는 일본 측에 노출되지 않은 세 명을 암살작전에 지목한다.<br/>?한국 독립군 저격수 안옥윤  신흥무관학교 출신 속사포  폭탄 전문가 황덕삼!<br/>?김구의 두터운 신임을 받는 임시정부 경무국 대장 염석진은 이들을 찾아 나서기 시작한다.<br/>?암살단의 타깃은 조선주둔군 사령관 카와구치 마모루와 친일파 강인국.<br/>?한편  누군가에게 거액의 의뢰를 받은 청부살인업자 하와이 피스톨이 암살단의 뒤를 쫓는데...<br/>?친일파 암살작전을 둘러싼 이들의 예측할 수 없는 운명이 펼쳐진다!,https://movie-phinf.pstatic.net/20150713_74/14367488229802tA3J_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121048,https://kakaotv.daum.net/embed/player/cliplink/v41bclrTGEeTycYE3y38YWG@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,암살,최동훈,전지현,이정재,하정우,한국,액션,140분,15세이상관람가,2015.07.22,7,12744339,12706663,99.7,plt_7.png,11_1000up,11_1000up,TRUE
8,20124079,왕위를 둘러싼 권력 다툼과 붕당정치로 혼란이 극에 달한 광해군 8년. 자신의 목숨을 노리는 자들에 대한 분노와 두려움으로 점점 난폭해져 가던 왕 ‘광해’는 도승지 ‘허균’에게 자신을 대신하여 위협에 노출될 대역을 찾을 것을 지시한다.<br/>?이에 허균은 기방의 취객들 사이에 걸쭉한 만담으로 인기를 끌던 하선을 발견한다. 왕과 똑같은 외모는 물론 타고난 재주와 말솜씨로 왕의 흉내도 완벽하게 내는 하선. 영문도 모른 채 궁에 끌려간 하선은 광해군이 자리를 비운 하룻밤 가슴 조이며 왕의 대역을 하게 된다. <br/>?왕이 되어선 안 되는 남자  조선의 왕이 되다! <br/>?그러던 어느 날 광해군이 갑자기 의식을 잃고 쓰러지는 엄청난 사건이 발생하고  허균은 광해군이 치료를 받는 동안 하선에게 광해군을 대신하여 왕의 대역을 할 것을 명한다. 저잣거리의 한낱 만담꾼에서 하루아침에 조선의 왕이 되어버린 천민 하선. 허균의 지시 하에 말투부터 걸음걸이  국정을 다스리는 법까지  함부로 입을 놀려서도 들켜서도 안 되는 위험천만한 왕노릇을 시작한다. 하지만 예민하고 난폭했던 광해와는 달리 따뜻함과 인간미가 느껴지는 달라진 왕의 모습에 궁정이 조금씩 술렁이고  점점 왕의 대역이 아닌 자신의 목소리를 내기 시작하는 하선의 모습에 허균도 당황하기 시작하는데...,https://movie-phinf.pstatic.net/20121018_114/13505269047497LGt6_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83893,https://kakaotv.daum.net/embed/player/cliplink/va395Bd3BuKBm3MHdIrKrrH@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,광해. 왕이 된 남자,추창민,이병헌,류승룡,한효주,한국,사극,131분,15세이상관람가,2012.09.13,8,12300044,12323595,99.81,plt_8.png,11_1000up,11_1000up,TRUE
9,20162869,택시운전사 만섭(송강호)은 외국손님을 태우고 광주에 갔다 통금 전에 돌아오면 <br/>?밀린 월세를 갚을 수 있는 거금 10만원을 준다는 말에 <br/>?독일기자 피터(토마스 크레취만)를 태우고 영문도 모른 채 길을 나선다.<br/>?<br/>?광주 그리고 사람들. “모르겄어라  우덜도 우덜한테 와 그라는지…”<br/>?어떻게든 택시비를 받아야 하는 만섭의 기지로 검문을 뚫고 겨우 들어선 광주. <br/>?위험하니 서울로 돌아가자는 만섭의 만류에도 <br/>?피터는 대학생 재식(류준열)과 황기사(유해진)의 도움 속에 촬영을 시작한다. <br/>?그러나 상황은 점점 심각해지고 만섭은 집에 혼자 있을 딸 걱정에 점점 초조해지는데…,https://movie-phinf.pstatic.net/20170717_298/1500253295782rcIkE_JPEG/movie_image.jpg?type=m203_290_2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146469,https://kakaotv.daum.net/embed/player/cliplink/v3706giI7a7LaiJggg9aSS1@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,택시운전사,장훈,이수민,송강호,토마스 크레취만,한국,드라마,137분,15세이상관람가,2017.08.02,9,12036155,12189195,98.74,plt_9.png,11_1000up,11_1000up,TRUE
